country,indicator_id,focal_2024_indicator_id_map,category,indicator_label_short,weight_inferred,max_score,weighted_score,raw_score,note
Slovenia,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Montenegro,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Peru,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Italy,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Austria,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,2,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United Kingdom,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Serbia,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Romania,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Belgium,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Colombia,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Mexico,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Poland,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Georgia,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Israel,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Netherlands,scope.1,scope.1,Scope,A wide breadth of lobbyists is included,2,4,4,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Canada,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Chile,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United States,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Ireland,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
France,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Scotland,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Finland,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Estonia,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Australia,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Lithuania,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Germany,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Greece,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Latvia,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Slovenia,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Montenegro,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Peru,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Italy,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Austria,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United Kingdom,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Serbia,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Romania,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Belgium,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Colombia,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Mexico,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,NA,NA,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | not_assessable
Poland,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Georgia,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Israel,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Netherlands,scope.2,scope.2,Scope,"All lobbyists, regardless of time and/or",3,6,NA,NA,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | not_assessable
Canada,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Chile,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United States,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Ireland,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
France,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Scotland,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Finland,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Estonia,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Australia,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Lithuania,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Germany,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Greece,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Latvia,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Slovenia,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Montenegro,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Peru,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Italy,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Austria,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United Kingdom,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Serbia,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Romania,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Belgium,scope.3,scope.3,Scope,The following are included as targets of,3,6,NA,NA,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | not_assessable
Colombia,scope.3,scope.3,Scope,The following are included as targets of,3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Mexico,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Poland,scope.3,scope.3,Scope,The following are included as targets of,3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Georgia,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Israel,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Netherlands,scope.3,scope.3,Scope,The following are included as targets of,3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Canada,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Chile,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United States,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Ireland,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
France,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,1,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Scotland,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Finland,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Estonia,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,1,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Australia,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Lithuania,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,1,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Germany,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Greece,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Latvia,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Slovenia,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Montenegro,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Peru,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Italy,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Austria,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United Kingdom,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Serbia,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Romania,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,1,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Belgium,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Colombia,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Mexico,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Poland,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Georgia,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,1,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Israel,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,2,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Netherlands,scope.4,scope.4,Scope,A wide breadth of activities is included,1,2,NA,NA,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Canada,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Chile,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United States,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Ireland,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
France,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Scotland,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Finland,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Estonia,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Australia,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Lithuania,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Germany,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Greece,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Latvia,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,6,2,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Slovenia,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Montenegro,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Peru,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Italy,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Austria,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
United Kingdom,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Serbia,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Romania,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Belgium,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,NA,NA,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4. | not_assessable
Colombia,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Mexico,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Poland,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Georgia,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,3,1,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Israel,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Netherlands,timeliness.1,timeliness.1+timeliness.2,Timeliness,"Changes (e.g.,",3,6,0,0,Updated 2026-05-07pm: raw_score from verbatim Suppl Table 5; weight from verbatim Suppl Table 4.
Canada,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Chile,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,2,2,
United States,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,0,0,
Ireland,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
France,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,0,0,
Scotland,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Finland,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Estonia,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,0,0,
Australia,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,0,0,
Lithuania,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Germany,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,0,0,
Greece,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Latvia,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,0,0,
Slovenia,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Montenegro,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Peru,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Italy,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,0,0,
Austria,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
United Kingdom,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,2,2,
Serbia,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,,,not_assessable
Romania,timeliness.2,timeliness.3,Timeliness,Ministerial diaries are disclosed,1,2,2,2,
