compendium_row_id	cell_type	axis	rubrics_reading	n_rubrics	first_introduced_by	status	notes
def_target_legislative_staff	binary	legal	cpi_2015;focal_2024	2	focal_2024_projection_mapping.md	firm	
exemption_for_govt_official_capacity_exists	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
exemption_partial_for_govt_agencies	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_filing_itemization_de_minimis_threshold_dollars	typed Optional[Decimal]	legal	hg_2007;sunlight_2015	2	sunlight_2015_projection_mapping.md	firm	
lobbyist_registration_threshold_expenditure_dollars	typed Optional[Decimal]	legal	focal_2024;newmark_2005;newmark_2017;opheim_1991	4	newmark_2017_projection_mapping.md	firm	
govt_agencies_subject_to_lobbyist_disclosure_requirements	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
govt_agencies_subject_to_principal_disclosure_requirements	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
law_defines_public_entity	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
law_includes_materiality_test	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_contact_log_includes_beneficiary_organization	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_communication_form	typed Optional[enum]	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_date	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_institution_or_department	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_location	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_materials_shared	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_meeting_attendees	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_official_contacted_name	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_contact_log_includes_topics_discussed	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_data_changes_flagged_with_versioning	binary	practical	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_data_current_year_present_on_website	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_data_downloadable_in_analytical_format	binary	practical	focal_2024;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbying_data_historical_archive_present	binary	practical	focal_2024;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbying_data_minimally_available	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_data_no_user_registration_required	binary	practical	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_data_open_data_quality	typed int 0-100 step 25 (practical)	practical	cpi_2015	1	cpi_2015_c11_projection_mapping.md	firm	single-rubric (cpi_2015)
lobbying_data_open_license	binary	practical	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
def_lobbying_activity_types	typed Set[enum] (8 types)	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_disclosure_audit_required_in_law	enum (legal) + typed int 0-100 step 25 (practical)	legal+practical	cpi_2015	1	cpi_2015_c11_projection_mapping.md	firm	single-rubric (cpi_2015)
lobbying_disclosure_data_includes_unique_identifiers	typed Set[enum]	practical	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_disclosure_data_linked_to_other_datasets	typed Set[enum]	practical	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbying_disclosure_documents_free_to_access	binary	practical	cpi_2015;focal_2024	2	cpi_2015_c11_projection_mapping.md	firm	
lobbying_disclosure_documents_online	binary	practical	cpi_2015	1	cpi_2015_c11_projection_mapping.md	firm	single-rubric (cpi_2015)
lobbying_disclosure_offline_request_response_time_days	typed int (practical)	practical	cpi_2015	1	cpi_2015_c11_projection_mapping.md	firm	single-rubric (cpi_2015)
lobbying_records_copy_cost_per_page_dollars	typed Optional[Decimal]	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbying_search_filter_by_assigned_entity	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_compensation	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_funding_source	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_lobbyist_location	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_lobbyist_name	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_misc_expenses	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_principal	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_principal_legal_status	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_principal_location	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_sector	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_specific_date	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_subject	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_subsector	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_time_period	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_filter_by_total_expenditures	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbying_search_simultaneous_multicriteria_capability	typed int ∈ 0..15	practical	focal_2024;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbying_violation_penalties_imposed_in_practice	binary (legal) + typed int 0-100 step 25 (practical)	legal+practical	cpi_2015	1	cpi_2015_c11_projection_mapping.md	firm	single-rubric (cpi_2015)
lobbying_website_easily_findable	binary	practical	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
def_lobbyist_actor_types	typed Set[enum] (9 types)	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_directory_available_as_downloadable_database	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_directory_available_as_pdf_or_image_on_web	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_directory_available_as_photocopies_from_office_only	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_directory_available_as_searchable_database_on_web	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_directory_update_cadence	typed UpdateCadence	practical	focal_2024;hg_2007	2	hiredguns_2007_projection_mapping.md	firm	
lobbyist_filing_de_minimis_threshold_dollars	typed Optional[Decimal]	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_filing_de_minimis_threshold_time_percent	typed Optional[float]	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_itemized_expenditure_identifies_employer_or_principal	binary	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_itemized_expenditure_identifies_recipient	binary	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_itemized_expenditure_includes_date	binary	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_itemized_expenditure_includes_description	binary	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_or_principal_reg_form_includes_lobbyist_board_memberships	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_or_principal_spending_report_includes_lobbyist_count_total_and_FTE	typed Optional[count_with_FTE]	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_or_principal_spending_report_includes_time_spent_on_lobbying	typed Optional[TimeSpent]	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_or_principal_spending_report_includes_trade_association_dues_or_sponsorship	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_or_principal_spending_report_includes_contributions_received_for_lobbying	binary	legal	newmark_2017	1	newmark_2017_projection_mapping.md	firm	single-rubric (newmark_2017)
lobbyist_reg_form_includes_bill_or_action_identifier	binary	legal	focal_2024;hg_2007;sunlight_2015	3	sunlight_2015_projection_mapping.md	firm	
lobbyist_reg_form_includes_business_associations_with_officials	binary	legal	focal_2024;hg_2007	2	hiredguns_2007_projection_mapping.md	firm	
lobbyist_reg_form_includes_compensation	binary	legal	hg_2007;sunlight_2015	2	sunlight_2015_projection_mapping.md	firm	
lobbyist_reg_form_includes_employment_type	binary	legal	focal_2024;hg_2007	2	hiredguns_2007_projection_mapping.md	firm	
lobbyist_reg_form_includes_general_subject_matter	binary	legal	hg_2007;sunlight_2015	2	sunlight_2015_projection_mapping.md	firm	
lobbyist_reg_form_includes_lobbyist_business_id	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_reg_form_includes_lobbyist_contact_details	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_reg_form_includes_lobbyist_full_name	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_reg_form_includes_lobbyist_legal_form	typed Optional[enum]	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_reg_form_includes_lobbyist_prior_public_offices_held	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_reg_form_includes_lobbyist_sector	typed Optional[SectorClassification]	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_reg_form_includes_position_on_bill	binary	legal	sunlight_2015	1	sunlight_2015_projection_mapping.md	firm	single-rubric (sunlight_2015)
lobbyist_reg_form_lists_each_employer_or_principal	binary	legal	focal_2024;hg_2007	2	hiredguns_2007_projection_mapping.md	firm	
lobbyist_registration_amendment_deadline_days	typed Optional[int]	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_registration_renewal_cadence	typed Optional[int_months] (or enum)	legal	cpi_2015;hg_2007	2	cpi_2015_c11_projection_mapping.md	firm	
lobbyist_registration_required	binary (legal) + typed int 0-100 step 25 (practical)	legal+practical	cpi_2015;hg_2007	2	cpi_2015_c11_projection_mapping.md	firm	
lobbyist_filing_distinguishes_in_house_vs_contract_filer	binary	legal	lobbyview	1	lobbyview_schema_coverage.md	firm	single-rubric (lobbyview); LV-1 promoted at freeze per D12
lobbyist_spending_report_includes_campaign_contributions	binary	legal	focal_2024;hg_2007	2	hiredguns_2007_projection_mapping.md	firm	
lobbyist_required_to_submit_photograph_with_registration	binary	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_spending_report_available_as_downloadable_database	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_spending_report_available_as_pdf_or_image_on_web	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_spending_report_available_as_photocopies_from_office_only	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_spending_report_available_as_searchable_database_on_web	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_spending_report_cadence_includes_annual	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_cadence_includes_monthly	binary	legal	newmark_2005;opheim_1991;pri_2010	3	pri_2010_projection_mapping.md	firm	
lobbyist_spending_report_cadence_includes_other	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_cadence_includes_quarterly	binary	legal	newmark_2005;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbyist_spending_report_cadence_includes_semiannual	binary	legal	newmark_2005;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbyist_spending_report_cadence_includes_triannual	binary	legal	newmark_2005;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbyist_spending_report_cadence_other_specification	free-text	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_categorizes_expenses_by_type	binary	legal	hg_2007;newmark_2005;newmark_2017;opheim_1991;sunlight_2015	5	sunlight_2015_projection_mapping.md	firm	
lobbyist_spending_report_filing_cadence	enum (legal) + typed int 0-100 step 25 (practical)	legal+practical	cpi_2015	1	cpi_2015_c11_projection_mapping.md	firm	single-rubric (cpi_2015)
lobbyist_spending_report_includes_bill_or_action_identifier	binary	legal	focal_2024;hg_2007;opheim_1991;sunlight_2015	4	sunlight_2015_projection_mapping.md	firm	
lobbyist_spending_report_includes_compensation_broken_down_by_payer	binary	legal	focal_2024;newmark_2005;newmark_2017;opheim_1991;sunlight_2015	5	sunlight_2015_projection_mapping.md	firm	
lobbyist_spending_report_includes_contacts_made	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_includes_expenditure_per_issue	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
lobbyist_spending_report_includes_general_issues	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_includes_general_subject_matter	binary	legal	hg_2007;newmark_2005;newmark_2017;sunlight_2015	4	sunlight_2015_projection_mapping.md	firm	
lobbyist_spending_report_includes_gifts_entertainment_transport_lodging	binary	legal	focal_2024;hg_2007;newmark_2005;newmark_2017;opheim_1991;pri_2010	6	pri_2010_projection_mapping.md	firm	
lobbyist_spending_report_includes_indirect_costs	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_includes_itemized_expenses	binary	legal	cpi_2015;hg_2007;sunlight_2015	3	cpi_2015_c11_projection_mapping.md	firm	
lobbyist_spending_report_includes_lobbyist_contact_info	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_includes_position_on_bill	binary	legal	focal_2024;opheim_1991;sunlight_2015	3	sunlight_2015_projection_mapping.md	firm	
lobbyist_spending_report_includes_principal_business_nature	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_includes_principal_contact_info	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_includes_principal_names	binary	legal	focal_2024;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbyist_spending_report_includes_specific_bill_number	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_spending_report_includes_total_compensation	binary	legal	cpi_2015;pri_2010;sunlight_2015;newmark_2017;newmark_2005;opheim_1991;hg_2007;focal_2024	8	pri_2010_projection_mapping.md	firm	
lobbyist_spending_report_includes_total_expenditures	binary	legal	focal_2024;newmark_2005;newmark_2017;opheim_1991	4	newmark_2017_projection_mapping.md	firm	
lobbyist_spending_report_required	binary	legal	cpi_2015;hg_2007;pri_2010;sunlight_2015	4	cpi_2015_c11_projection_mapping.md	firm	
lobbyist_spending_report_required_when_no_activity	binary	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_spending_report_scope_includes_household_members_of_officials	binary	legal	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_spending_report_uses_itemized_format	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
ministerial_diary_available_online	binary	practical	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
ministerial_diary_disclosure_cadence	typed enum	practical	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
online_lobbyist_registration_filing_available	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
online_lobbyist_spending_report_filing_available	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
oversight_agency_provides_efile_training	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
oversight_agency_publishes_aggregate_lobbying_spending_by_filing_deadline	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
oversight_agency_publishes_aggregate_lobbying_spending_by_industry	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
oversight_agency_publishes_aggregate_lobbying_spending_by_year	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
lobbyist_or_principal_reg_form_includes_member_or_sponsor_names	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
principal_spending_report_lists_lobbyists_employed	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
principal_spending_report_cadence_includes_annual	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_cadence_includes_monthly	binary	legal	newmark_2005;opheim_1991;pri_2010	3	pri_2010_projection_mapping.md	firm	
principal_spending_report_cadence_includes_other	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_cadence_includes_quarterly	binary	legal	newmark_2005;pri_2010	2	pri_2010_projection_mapping.md	firm	
principal_spending_report_cadence_includes_semiannual	binary	legal	newmark_2005;pri_2010	2	pri_2010_projection_mapping.md	firm	
principal_spending_report_cadence_includes_triannual	binary	legal	newmark_2005;pri_2010	2	pri_2010_projection_mapping.md	firm	
principal_spending_report_cadence_other_specification	free-text	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_business_nature	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_compensation_paid_to_lobbyists	binary	legal	cpi_2015;pri_2010;hg_2007	3	pri_2010_projection_mapping.md	firm	
principal_spending_report_includes_contacts_made	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_general_issues	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_gifts_entertainment_transport_lodging	binary	legal	focal_2024;hg_2007;newmark_2005;newmark_2017;opheim_1991;pri_2010	6	pri_2010_projection_mapping.md	firm	
principal_spending_report_includes_indirect_costs	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_lobbyist_contact_info	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_lobbyist_names	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_major_financial_contributors	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_principal_contact_info	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_specific_bill_number	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
principal_spending_report_includes_total_expenditures	binary	legal	focal_2024	1	focal_2024_projection_mapping.md	firm	single-rubric (focal_2024)
principal_spending_report_required	binary	legal	cpi_2015;hg_2007;pri_2010	3	cpi_2015_c11_projection_mapping.md	firm	
principal_spending_report_uses_itemized_format	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
public_entity_def_relies_on_charter	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
public_entity_def_relies_on_ownership	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
public_entity_def_relies_on_revenue_structure	binary	legal	pri_2010	1	pri_2010_projection_mapping.md	firm	single-rubric (pri_2010)
lobbyist_registration_deadline_days_after_first_lobbying	typed int (legal) + typed int 0-100 step 25 (practical)	legal+practical	cpi_2015;hg_2007	2	cpi_2015_c11_projection_mapping.md	firm	
sample_lobbying_forms_available_on_web	binary	practical	hg_2007	1	hiredguns_2007_projection_mapping.md	firm	single-rubric (hg_2007)
separate_registrations_for_lobbyists_and_clients	binary	legal	(unvalidated; path-b)	0	_tabled/opensecrets_2022_tabled.md	firm	OS-1 path-b unvalidated; OpenSecrets Cat 1 reads but is tabled. Real distinguishing observable in some states.
state_has_dedicated_lobbying_website	binary	practical	focal_2024;pri_2010	2	pri_2010_projection_mapping.md	firm	
lobbyist_registration_threshold_time_percent	typed Optional[TimeThreshold]	legal	focal_2024;newmark_2005;newmark_2017;opheim_1991	4	newmark_2017_projection_mapping.md	firm	
