source_paper_i,source_id_i,source_text_i,source_paper_j,source_id_j,source_text_j,agreement_count,pair_strength,m1_count,m2_count,m3_count,cross_method_spread
pri_2010,disclosure.E1b,Are principals required to disclose their address and phone number?,pri_2010,disclosure.E2d,Are lobbyists required to disclose the address and phone number of the principals represented?,4,0.4444444444444444,0,1,3,3
pri_2010,disclosure.E1b,Are principals required to disclose their address and phone number?,pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,4,0.4444444444444444,0,1,3,3
pri_2010,disclosure.D1_present,Financial threshold exists: if expenses are less than some dollar threshold the entity is exempted from filing disclosure.,pri_2010,disclosure.D2_present,Time threshold exists: if amount of time devoted to lobbying is less than a threshold percentage of an individual's compensated time the individual or entity is exempted from filing disclosure.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A9,Local governments.,pri_2010,disclosure.A10,Government agencies who lobby other agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A8,Independent agencies.,pri_2010,disclosure.A10,Government agencies who lobby other agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A8,Independent agencies.,pri_2010,disclosure.A9,Local governments.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.A7,Legislative branch.,pri_2010,disclosure.A10,Government agencies who lobby other agencies.,4,0.4444444444444444,1,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,3,0.3333333333333333,0,0,3,3
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,3,0.3333333333333333,0,0,3,3
pri_2010,accessibility.Q7i,Can users specify data searches on the website by Miscellaneous expenses (non-compensation).,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,pri_2010,disclosure.D1_present,Financial threshold exists: if expenses are less than some dollar threshold the entity is exempted from filing disclosure.,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Opheim,def.time_standard,specific time standard to delineate lobbying activity,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Newmark2005,def_time_standard,time standard,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Newmark2005,def_expenditure_standard,expenditure standard,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,Newmark2005,def_compensation_standard,compensation standard,3,0.3333333333333333,0,0,3,3
FOCAL,scope.2,There is no (or low) financial or time threshold to qualify/exempt lobbyists from registration,HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7i,Can users specify data searches on the website by Miscellaneous expenses (non-compensation).,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7h,Can users specify data searches on the website by Compensation spending (portion of total expenditures for which the lobbyist is paid back).,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7g,Can users specify data searches on the website by Total expenditures.,3,0.3333333333333333,0,0,3,3
FOCAL,openness.5,"Searchable, simultaneous sorting with multiple criteria",pri_2010,accessibility.Q7f,Can users specify data searches on the website by Specific time period (normally quarter but it depends on how often the law requires data to be disclosed).,3,0.3333333333333333,0,0,3,3
