source_paper_i,source_id_i,source_text_i,source_paper_j,source_id_j,source_text_j,agreement_count,pair_strength,m1_count,m2_count,m3_count,cross_method_spread
OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website,pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,8,0.8888888888888888,2,3,3,1
FOCAL,financials.2,Lobbying income per client,Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,7,0.7777777777777778,2,2,3,1
FOCAL,financials.2,Lobbying income per client,Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer,7,0.7777777777777778,2,2,3,1
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),Newmark2005,disc_total_expenditures,total expenditures,7,0.7777777777777778,2,2,3,1
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying,7,0.7777777777777778,2,2,3,1
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),Opheim,disclosure.total_spending,lobbyist's total spending,7,0.7777777777777778,2,2,3,1
HiredGuns,Q40,Does the state agency conduct mandatory reviews or audits?,Opheim,enforce.thoroughness_of_reviews,thoroughness of reviews of lobby reports by oversight agency,7,0.7777777777777778,2,3,2,1
FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)",Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,7,0.7777777777777778,1,3,3,2
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,7,0.7777777777777778,3,3,1,2
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,7,0.7777777777777778,3,3,1,2
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,7,0.7777777777777778,3,3,1,2
pri_2010,disclosure.E1g_i,Are principals required to disclose information on the issue lobbied by the general issues lobbied?,pri_2010,disclosure.E2g_i,Are lobbyists required to disclose information on the issue lobbied by the general issues lobbied?,7,0.7777777777777778,1,3,3,2
pri_2010,disclosure.E1g_ii,Are principals required to disclose information on the issue lobbied by the specific bill number or legislation ID?,pri_2010,disclosure.E2g_ii,Are lobbyists required to disclose information on the issue lobbied by the specific bill number or legislation ID?,7,0.7777777777777778,1,3,3,2
FOCAL,openness.1,Lobbyist register is online,HiredGuns,Q31,Location/format of registrations or active lobbyist directory,6,0.6666666666666666,2,1,3,2
FOCAL,openness.1,Lobbyist register is online,pri_2010,accessibility.Q2,The state has a dedicated website for lobbying information.,6,0.6666666666666666,2,1,3,2
FOCAL,openness.3,"Available without registration, free to access, open license (eg, no limits to reuse), non-proprietary format (eg, CSV, not Excel), machine readable",pri_2010,accessibility.Q6,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.",6,0.6666666666666666,2,1,3,2
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),Newmark2005,disc_total_compensation,total compensation received,6,0.6666666666666666,2,1,3,2
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,6,0.6666666666666666,2,1,3,2
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),Opheim,disclosure.total_income,total income,6,0.6666666666666666,2,1,3,2
FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received",Opheim,disclosure.sources_of_income,sources of income,6,0.6666666666666666,2,1,3,2
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),6,0.6666666666666666,3,1,2,2
Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,6,0.6666666666666666,3,2,1,2
Newmark2005,disc_total_compensation,total compensation received,Sunlight,lobbyist_compensation,Lobbyist Compensation,6,0.6666666666666666,1,2,3,2
Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action,Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,6,0.6666666666666666,3,2,1,2
Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,Sunlight,lobbyist_compensation,Lobbyist Compensation,6,0.6666666666666666,1,2,3,2
OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,6,0.6666666666666666,3,1,2,2
Opheim,disclosure.total_income,total income,Sunlight,lobbyist_compensation,Lobbyist Compensation,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1f_i,Required component of disclosure report: Direct lobbying costs (compensation).,pri_2010,disclosure.E2f_i,Required component of disclosure report: Direct lobbying costs (compensation).,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).,pri_2010,disclosure.E2f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,pri_2010,disclosure.E2f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,pri_2010,disclosure.E2h_i,Reporting frequency option: Monthly.,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,pri_2010,disclosure.E2h_ii,Reporting frequency option: Quarterly.,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,pri_2010,disclosure.E2h_iii,Reporting frequency option: Tri-annually (linked with legislative calendar).,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1h_iv,Reporting frequency option: Semi-annually.,pri_2010,disclosure.E2h_iv,Reporting frequency option: Semi-annually.,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1h_v,Reporting frequency option: Annually.,pri_2010,disclosure.E2h_v,Reporting frequency option: Annually.,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1h_vi,Reporting frequency option: Other (free-text).,pri_2010,disclosure.E2h_vi,Reporting frequency option: Other (free-text).,6,0.6666666666666666,1,2,3,2
pri_2010,disclosure.E1i,Are principals required to disclose contacts?,pri_2010,disclosure.E2i,Are lobbyists required to disclose contacts?,6,0.6666666666666666,1,2,3,2
FOCAL,openness.4,"Downloadable (eg, as files, database)",pri_2010,accessibility.Q6,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.",6,0.6666666666666666,3,3,0,3
FOCAL,contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc",pri_2010,disclosure.E1g_ii,Are principals required to disclose information on the issue lobbied by the specific bill number or legislation ID?,6,0.6666666666666666,0,3,3,3
FOCAL,contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc",pri_2010,disclosure.E2g_ii,Are lobbyists required to disclose information on the issue lobbied by the specific bill number or legislation ID?,6,0.6666666666666666,0,3,3,3
OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website,pri_2010,accessibility.Q6,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.",6,0.6666666666666666,3,3,0,3
FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received",Newmark2017,disclosure.contributions_from_others,Disclosure required: contributions received from others for lobbying purposes,5,0.5555555555555556,2,1,2,1
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,Newmark2005,disc_total_compensation,total compensation received,5,0.5555555555555556,1,2,2,1
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,5,0.5555555555555556,1,2,2,1
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,Opheim,disclosure.total_income,total income,5,0.5555555555555556,1,2,2,1
Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),5,0.5555555555555556,2,1,2,1
FOCAL,timeliness.1,"Changes (eg, registering/deregistering lobbyists, new clients) are updated close to real time (eg, daily)",HiredGuns,Q38,How often are lobby lists updated?,5,0.5555555555555556,1,1,3,2
FOCAL,timeliness.2,"Lobbying activities are disclosed close to real time (eg, daily)",OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),5,0.5555555555555556,1,1,3,2
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",pri_2010,disclosure.E1b,Are principals required to disclose their address and phone number?,5,0.5555555555555556,1,1,3,2
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",pri_2010,disclosure.E2b,Are lobbyists required to disclose their address and phone number?,5,0.5555555555555556,1,1,3,2
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",pri_2010,disclosure.E1e,Are principals required to disclose the nature of the business (public or private)?,5,0.5555555555555556,1,1,3,2
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",pri_2010,disclosure.E2e,Are lobbyists required to disclose the nature of the principal's business (public or private)?,5,0.5555555555555556,1,1,3,2
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,5,0.5555555555555556,1,1,3,2
FOCAL,contact_log.9,Topics/issues discussed,pri_2010,disclosure.E1g_i,Are principals required to disclose information on the issue lobbied by the general issues lobbied?,5,0.5555555555555556,1,1,3,2
FOCAL,contact_log.9,Topics/issues discussed,pri_2010,disclosure.E2g_i,Are lobbyists required to disclose information on the issue lobbied by the general issues lobbied?,5,0.5555555555555556,1,1,3,2
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,pri_2010,disclosure.E2c,Are lobbyists required to disclose the names of all the principals represented?,5,0.5555555555555556,1,1,3,2
HiredGuns,Q31,Location/format of registrations or active lobbyist directory,pri_2010,accessibility.Q2,The state has a dedicated website for lobbying information.,5,0.5555555555555556,1,1,3,2
pri_2010,disclosure.E1b,Are principals required to disclose their address and phone number?,pri_2010,disclosure.E2b,Are lobbyists required to disclose their address and phone number?,5,0.5555555555555556,1,1,3,2
pri_2010,disclosure.E1e,Are principals required to disclose the nature of the business (public or private)?,pri_2010,disclosure.E2e,Are lobbyists required to disclose the nature of the principal's business (public or private)?,5,0.5555555555555556,1,1,3,2
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?",5,0.5555555555555556,0,2,3,3
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period),5,0.5555555555555556,0,2,3,3
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),5,0.5555555555555556,2,3,0,3
Newmark2017,disclosure.contributions_from_others,Disclosure required: contributions received from others for lobbying purposes,Opheim,disclosure.sources_of_income,sources of income,5,0.5555555555555556,3,0,2,3
OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),Sunlight,lobbyist_compensation,Lobbyist Compensation,5,0.5555555555555556,2,3,0,3
FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)",Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,4,0.4444444444444444,1,2,1,1
FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)",Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action,4,0.4444444444444444,1,2,1,1
Sunlight,expenditure_reporting_thresholds,Expenditure Reporting Thresholds,pri_2010,disclosure.D1_present,Financial threshold exists: if expenses are less than some dollar threshold the entity is exempted from filing disclosure.,4,0.4444444444444444,1,1,2,1
FOCAL,scope.1,"The following types of lobbyists are included in the register: professional lobbyists/consultants, in-house company lobbyists, in-house organisation lobbyists, professional consultancies, law firms, think tanks, research institutions, public entities, government agencies/employees",pri_2010,disclosure.A4,Lobbying firms.,4,0.4444444444444444,1,0,3,3
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,4,0.4444444444444444,0,1,3,3
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",pri_2010,disclosure.E2d,Are lobbyists required to disclose the address and phone number of the principals represented?,4,0.4444444444444444,0,1,3,3
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,4,0.4444444444444444,0,1,3,3
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),Sunlight,lobbyist_compensation,Lobbyist Compensation,4,0.4444444444444444,0,1,3,3
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),Sunlight,expenditure_transparency,Expenditure Transparency,4,0.4444444444444444,0,1,3,3
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2005,def_compensation_standard,compensation standard,4,0.4444444444444444,1,0,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2005,def_expenditure_standard,expenditure standard,4,0.4444444444444444,0,1,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),4,0.4444444444444444,1,0,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),4,0.4444444444444444,0,1,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,4,0.4444444444444444,1,0,3,3
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,4,0.4444444444444444,0,1,3,3
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,4,0.4444444444444444,0,1,3,3
HiredGuns,Q15,What spending must be itemized?,pri_2010,disclosure.E1f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,4,0.4444444444444444,0,1,3,3
HiredGuns,Q15,What spending must be itemized?,pri_2010,disclosure.E2f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,4,0.4444444444444444,0,1,3,3
HiredGuns,Q26,Is an employer or principal of a lobbyist required to ﬁle a spending report?,pri_2010,disclosure.E1a,Are principals required to disclose?,4,0.4444444444444444,0,3,1,3
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),4,0.4444444444444444,1,0,3,3
Newmark2005,disc_total_expenditures,total expenditures,Sunlight,expenditure_transparency,Expenditure Transparency,4,0.4444444444444444,0,1,3,3
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,pri_2010,disclosure.E2f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",4,0.4444444444444444,0,1,3,3
