source_paper,source_id,source_text,group_id,group_label
FOCAL,openness.8,Historical data in lobbyist register is archived and published; downloadable,g_005,Historical lobbying data archived / downloadable
FOCAL,openness.9,Changes or updates documented with a flagging system,g_028,Changes / updates to register flagged
FOCAL,descriptors.1,"Full names of lobbyists/organisations, (not abbreviations or ambiguous names)",g_128,Full names (not abbreviations or ambiguous names) of lobbyists / orgs disclosed
FOCAL,descriptors.2,"Contact details provided (eg, Address, telephone and/or website)",g_129,Address / phone / website / contact details of all parties disclosed
FOCAL,descriptors.3,"Legal form (eg, public, private, not-for-profit, NGO, government)",g_130,"Legal form / nature of business (public, private, NGO, government) disclosed"
FOCAL,descriptors.4,Company registration number,g_131,Company / entity registration number disclosed
FOCAL,descriptors.5,"Sector (eg, transport, energy), sub sector",g_132,Sector / sub-sector of lobbyist or principal disclosed
FOCAL,descriptors.6,"Type of lobbyist contract (eg, salaried staff, contracted)",g_074,Type of lobbyist contract / compensated vs uncompensated work disclosed
FOCAL,revolving_door.1,"List of all prior public offices that lobbyists have held, dates when left office",g_133,Prior public offices held by lobbyists disclosed (revolving-door history)
FOCAL,revolving_door.2,"Database of public officials who are subject to a ban on lobbying (eg, cooling off period)",g_134,Database of public officials banned from lobbying (cooling-off list) published
FOCAL,relationships.1,Client list (for all consultant lobbyists and firms),g_073,Lobbyist-principal (client/employer) relationships disclosed
FOCAL,relationships.2,Names of all sponsors or members (for associations and representative groups),g_135,Sponsors / members listed for associations and representative groups
FOCAL,relationships.3,"List of board seats held (eg, in associations, companies)",g_136,Board seats held by lobbyists in associations / companies disclosed
FOCAL,relationships.4,"Direct business associations with public officials, candidates or members of their households",g_088,Direct business associations with public officials / candidates / their households disclosed
FOCAL,financials.1,Total lobbying income (for consultant lobbyists/lobby firms),g_076,Compensation paid to lobbyists disclosed (total / per filer)
FOCAL,financials.2,Lobbying income per client,g_077,Compensation / income broken down by client / employer
FOCAL,financials.3,"Income sources (eg, including government agencies, grant-making foundations, companies) and amount received",g_077,Compensation / income broken down by client / employer
FOCAL,financials.4,Number of lobbyists employed/contracted (total and full-time equivalent),g_137,Number of lobbyists employed / contracted disclosed
FOCAL,financials.5,Amount of time spent on lobbying,g_138,Amount of time spent on lobbying disclosed
FOCAL,financials.6,Total lobbying expenditure (both in-house and consulting),g_079,Total lobbying expenditures disclosed
FOCAL,financials.7,Compensated/uncompensated lobbying activities,g_074,Type of lobbyist contract / compensated vs uncompensated work disclosed
FOCAL,financials.8,Expenditure per issue,g_139,Lobbying expenditure broken down by issue disclosed
FOCAL,financials.9,"Expenditure on membership/sponsorship of organisations that lobby (eg, trade associations)",g_140,"Expenditure on memberships of organisations that lobby (e.g., trade assoc.) disclosed"
FOCAL,financials.10,"Expenditures benefitting public officials or employees including financial/non-financial gifts and support, employer/principal on whose behalf expenses were made",g_089,Expenditures benefiting public officials / employees (incl. gifts) disclosed
FOCAL,financials.11,"Campaign/political contributions, including in-kind",g_141,Campaign / political contributions made by lobbyists disclosed
FOCAL,contact_log.1,Organisation/interest(s) represented (beneficiary),g_142,Per-contact: organisation / interest represented (beneficiary)
FOCAL,contact_log.2,Names of persons contacted and their position/role,g_143,Per-contact: names of officials contacted and their position
FOCAL,contact_log.3,Institution/department contacted,g_144,Per-contact: institution / department contacted
FOCAL,contact_log.4,"If a meeting, names of all attendees",g_145,Per-contact: names of all attendees of the meeting
FOCAL,contact_log.5,Date,g_146,Per-contact: date of contact
FOCAL,contact_log.6,"Form (eg, in person meeting, video conference, phone call)",g_147,"Per-contact: form of contact (in-person, video, phone, etc.)"
FOCAL,contact_log.7,Location,g_148,Per-contact: location of contact
FOCAL,contact_log.8,"Any materials that were shared, excluding commercially sensitive materials (before, during and after the meeting)",g_149,Per-contact: materials shared before / during / after meeting
FOCAL,contact_log.9,Topics/issues discussed,g_150,Per-contact: topics / issues discussed
FOCAL,contact_log.10,"Outcomes sought (eg, legislation/policies supported/opposed)",g_085,Issues / legislation / actions sought to influence disclosed (general)
FOCAL,contact_log.11,"Targeted areas of public policy or legislation, including a list of official legislative references/bill numbers/measures etc",g_086,Specific bill numbers / legislation IDs disclosed
HiredGuns,Q1,"In addition to legislative lobbyists, does the deﬁnition recognize executive branch lobbyists?",g_039,Administrative / executive-branch lobbying triggers lobbyist status
HiredGuns,Q2,"How much does an individual have to make/spend to qualify as a lobbyist or to prompt registration as a lobbyist, according to the deﬁnition?",g_045,Dollar magnitude of qualifying threshold for lobbyist registration
HiredGuns,Q3,Is a lobbyist required to ﬁle a registration form?,g_046,Lobbyists required to file a registration form
HiredGuns,Q4,How many days can lobbying take place before registration is required?,g_070,Days allowed before registration required after starting to lobby
HiredGuns,Q5,Is subject matter or bill number to be addressed by a lobbyist required on registration forms?,g_071,Subject matter / bill number required on registration form
HiredGuns,Q6,How often is registration by a lobbyist required?,g_037,Frequency of lobbyist registration / re-registration
HiredGuns,Q7,Within how many days must a lobbyist notify the oversight agency of changes in registration?,g_034,Registration changes (new / dereg / new clients) updated promptly
HiredGuns,Q8,Is a lobbyist required to submit a photograph with registration?,g_072,Lobbyist photograph required at registration
HiredGuns,Q9,Is a lobbyist required to identify by name each employer on the registration form?,g_073,Lobbyist-principal (client/employer) relationships disclosed
HiredGuns,Q10,"Is a lobbyist required to include on the registration form any additional information about the type of lobbying work he or she does (i.e., compensated or non-compensated/contract or salaried)?",g_074,Type of lobbyist contract / compensated vs uncompensated work disclosed
HiredGuns,Q11,Is a lobbyist required to ﬁle a spending report?,g_075,Lobbyists required to file periodic spending / disclosure reports
HiredGuns,Q12,How often during each two-year cycle is a lobbyist required to report spending?,g_036,Frequency of lobbyist disclosure (spending/activity) reporting
HiredGuns,Q13,Is compensation/salary required to be reported by a lobbyist on spending reports?,g_076,Compensation paid to lobbyists disclosed (total / per filer)
HiredGuns,Q14,"Are summaries (totals) of spending classiﬁed by category types (i.e., gifts, entertainment, postage, etc.)?",g_078,"Spending categorized by type (gifts, entertainment, postage, etc.)"
HiredGuns,Q15,What spending must be itemized?,g_080,Itemized format required for spending disclosure
HiredGuns,Q16,Is the lobbyist employer/principal on whose behalf the itemized expenditure was made required to be identiﬁed?,g_081,Principal / employer identified on each itemized expenditure
HiredGuns,Q17,Is the recipient of the itemized expenditure required to be identiﬁed?,g_082,Recipient identified on each itemized expenditure
HiredGuns,Q18,Is the date of the itemized expenditure required to be reported?,g_083,Date required on each itemized expenditure
HiredGuns,Q19,Is a description of the itemized expenditure required to be reported?,g_084,Description required on each itemized expenditure
HiredGuns,Q20,Is subject matter or bill number to be addressed by a lobbyist required on spending reports?,g_085,Issues / legislation / actions sought to influence disclosed (general)
HiredGuns,Q21,Is spending on household members of public ofﬁcials by a lobbyist required to be reported?,g_087,Spending on household members of public officials disclosed
HiredGuns,Q22,"Is a lobbyist required to disclose direct business associations with public ofﬁcials, candidates or members of their households?",g_088,Direct business associations with public officials / candidates / their households disclosed
HiredGuns,Q23,What is the statutory provision for a lobbyist giving and reporting gifts?,g_089,Expenditures benefiting public officials / employees (incl. gifts) disclosed
HiredGuns,Q25,Is a lobbyist who has done no spending during a ﬁling period required to make a report of no activity?,g_090,No-activity report required when lobbyist had no spending in period
HiredGuns,Q26,Is an employer or principal of a lobbyist required to ﬁle a spending report?,g_091,Principals / employers required to file disclosure reports
HiredGuns,Q27,Is compensation/salary required to be reported on employer/principal spending reports?,g_076,Compensation paid to lobbyists disclosed (total / per filer)
HiredGuns,Q28,Does the oversight agency provide lobbyists/employers with online registration?,g_092,Online registration provided by oversight agency
HiredGuns,Q29,Does the oversight agency provide lobbyists/employers with online spending reporting?,g_093,Online spending-report filing provided by oversight agency
HiredGuns,Q30,Does the oversight agency provide training about how to ﬁle registrations/spending reports electronically?,g_094,Training on electronic filing provided
HiredGuns,Q31,Location/format of registrations or active lobbyist directory,g_001,Online lobbyist register / dedicated state lobbying website exists
HiredGuns,Q32,Location/format of spending reports,g_095,Location / format of lobbyist spending reports for public access
HiredGuns,Q33,Cost of copies,g_096,Cost of obtaining copies of lobbying records
HiredGuns,Q34,Are sample registration forms/spending reports available the Web?,g_097,Sample registration / spending forms available on the web
HiredGuns,Q35,Does the state agency provide an overall lobbying spending total by year?,g_098,State publishes overall lobbying spending total by year
HiredGuns,Q36,Does the state agency provide an overall lobbying spending total by spending-report deadlines?,g_099,State publishes overall spending total by spending-report deadlines
HiredGuns,Q37,Does the state agency provide an overall lobbying spending total by industries lobbyists represent?,g_100,State publishes overall spending total by industry represented
HiredGuns,Q38,How often are lobby lists updated?,g_101,Frequency with which lobby lists are updated by the state
HiredGuns,Q39,Does the state have statutory auditing authority?,g_102,State has statutory auditing authority over lobbying disclosures
HiredGuns,Q40,Does the state agency conduct mandatory reviews or audits?,g_103,Oversight agency conducts mandatory reviews / audits of reports
HiredGuns,Q41,Is there a statutory penalty for late ﬁling of lobby registration form?,g_104,Statutory penalty for late filing of lobby registration
HiredGuns,Q42,Is there a statutory penalty for late ﬁling of a lobby spending report?,g_105,Statutory penalty for late filing of lobby spending report
HiredGuns,Q43,When was a penalty for late ﬁling of a lobby spending report last levied?,g_106,Date a penalty for late filing of spending report was last levied
HiredGuns,Q44,Is there a statutory penalty for incomplete ﬁling of a lobby registration form?,g_107,Statutory penalty for incomplete filing of lobby registration
HiredGuns,Q45,Is there a statutory penalty for incomplete ﬁling of a lobby spending report?,g_108,Statutory penalty for incomplete filing of lobby spending report
HiredGuns,Q46,When was a penalty for incomplete ﬁling of a lobby spending report last levied?,g_109,Date a penalty for incomplete filing of spending report was last levied
HiredGuns,Q47,Does the state publish a list of delinquent ﬁlers either on the Web or in a printed document?,g_110,State publishes a list of delinquent filers
HiredGuns,Q48,"Is there a ""cooling off"" period required before legislators can register as lobbyists?",g_111,Cooling-off period before legislators can become lobbyists (revolving-door)
Newmark2005,def_legislative_lobbying,legislative lobbying,g_038,Legislative lobbying triggers lobbyist status
Newmark2005,def_administrative_agency_lobbying,administrative agency lobbying,g_039,Administrative / executive-branch lobbying triggers lobbyist status
Newmark2005,def_elected_officials_as_lobbyists,elected officials as lobbyists,g_040,Elected officials defined as lobbyists when engaged in lobbying
Newmark2005,def_public_employees_as_lobbyists,public employees as lobbyists,g_041,Public employees defined as lobbyists when engaged in lobbying
Newmark2005,def_compensation_standard,compensation standard,g_042,Compensation-based threshold for qualifying as a lobbyist
Newmark2005,def_expenditure_standard,expenditure standard,g_043,Expenditure-based threshold for qualifying as a lobbyist
Newmark2005,def_time_standard,time standard,g_044,Time-based threshold for qualifying as a lobbyist
Newmark2005,freq_reporting_more_than_annual,frequency of reporting (more frequently than once per year),g_036,Frequency of lobbyist disclosure (spending/activity) reporting
Newmark2005,prohib_campaign_contrib_any_time,campaign contributions at any time,g_112,Lobbyists prohibited from making campaign contributions at any time
Newmark2005,prohib_campaign_contrib_during_session,campaign contributions during the legislative session,g_113,Lobbyists prohibited from making campaign contributions during legislative session
Newmark2005,prohib_expenditures_over_threshold,expenditures in excess of a certain dollar amount per year,g_114,Lobbyist expenditures over a dollar threshold prohibited
Newmark2005,prohib_solicitation_by_officials,solicitation by officials or employees for contributions or gifts,g_115,Solicitation by officials / employees for contributions or gifts prohibited
Newmark2005,disc_legislative_admin_action_to_influence,legislative/administrative action seeking to influence,g_085,Issues / legislation / actions sought to influence disclosed (general)
Newmark2005,disc_expenditures_benefiting_officials,expenditures benefiting public officials or employees,g_089,Expenditures benefiting public officials / employees (incl. gifts) disclosed
Newmark2005,disc_compensation_by_employer,compensation received broken down by employers,g_077,Compensation / income broken down by client / employer
Newmark2005,disc_total_compensation,total compensation received,g_076,Compensation paid to lobbyists disclosed (total / per filer)
Newmark2005,disc_categories_of_expenditures,categories of expenditures,g_078,"Spending categorized by type (gifts, entertainment, postage, etc.)"
Newmark2005,disc_total_expenditures,total expenditures,g_079,Total lobbying expenditures disclosed
Newmark2017,def.legislative_lobbying,Legislative lobbying necessitates registering as a lobbyist,g_038,Legislative lobbying triggers lobbyist status
Newmark2017,def.administrative_agency_lobbying,Administrative agency lobbying necessitates registering as a lobbyist,g_039,Administrative / executive-branch lobbying triggers lobbyist status
Newmark2017,def.elective_officials_as_lobbyists,Elective officials are defined as lobbyists if engaged in lobbying-related behaviors,g_040,Elected officials defined as lobbyists when engaged in lobbying
Newmark2017,def.public_employees_as_lobbyists,Public employees are defined as lobbyists if engaged in lobbying-related behaviors,g_041,Public employees defined as lobbyists when engaged in lobbying
Newmark2017,def.compensation_standard,Compensation standard for lobbyist status (state defines persons as lobbyists if they receive a certain amount of money in exchange for lobbying),g_042,Compensation-based threshold for qualifying as a lobbyist
Newmark2017,def.expenditure_standard,Expenditure standard for lobbyist status (state defines persons as lobbyists if they spend a certain amount of money in lobbying),g_043,Expenditure-based threshold for qualifying as a lobbyist
Newmark2017,def.time_standard,Time standard for lobbyist status (state defines persons as lobbyists if they devote a certain amount of time in lobbying),g_044,Time-based threshold for qualifying as a lobbyist
Newmark2017,prohib.contributions_anytime,Lobbyists prohibited from making campaign contributions at any time,g_112,Lobbyists prohibited from making campaign contributions at any time
Newmark2017,prohib.contributions_during_session,Lobbyists prohibited from making campaign contributions during legislative sessions,g_113,Lobbyists prohibited from making campaign contributions during legislative session
Newmark2017,prohib.solicitation_by_officials,Solicitation by officials or employees for contributions or gifts is prohibited,g_115,Solicitation by officials / employees for contributions or gifts prohibited
Newmark2017,prohib.contingent_compensation,Contingent compensation is prohibited (lobbyists receiving pay only on achieving a lobbying-related objective),g_116,Contingent compensation for lobbyists prohibited
Newmark2017,prohib.revolving_door,Revolving door restrictions (lawmakers prohibited from becoming lobbyists without a waiting period),g_111,Cooling-off period before legislators can become lobbyists (revolving-door)
Newmark2017,disclosure.influence_legislation_or_admin,Disclosure required: seeking to influence legislation or administrative action,g_085,Issues / legislation / actions sought to influence disclosed (general)
Newmark2017,disclosure.expenditures_benefiting_officials,Disclosure required: expenditures benefiting public officials or employees,g_089,Expenditures benefiting public officials / employees (incl. gifts) disclosed
Newmark2017,disclosure.compensation_by_employer,Disclosure required: compensation received broken down by employer,g_077,Compensation / income broken down by client / employer
Newmark2017,disclosure.total_compensation,Disclosure required: total compensation received,g_076,Compensation paid to lobbyists disclosed (total / per filer)
Newmark2017,disclosure.categories_of_expenditures,Disclosure required: categories of expenditures,g_078,"Spending categorized by type (gifts, entertainment, postage, etc.)"
Newmark2017,disclosure.total_expenditures,Disclosure required: total expenditures toward lobbying,g_079,Total lobbying expenditures disclosed
Newmark2017,disclosure.contributions_from_others,Disclosure required: contributions received from others for lobbying purposes,g_117,Contributions / financial contributors received from others disclosed
OpenSecrets,lobbyist_client_disclosure,"Who is lobbying and who is paying for it (lobbyist and client identification, with separate registrations preferred)",g_126,Identification of lobbyists and their clients (who is lobbying / paying)
OpenSecrets,lobbyist_compensation_disclosure,How much are lobbyists getting paid (compensation paid to lobbyists by clients),g_076,Compensation paid to lobbyists disclosed (total / per filer)
OpenSecrets,timely_disclosure,Is there timely disclosure (frequency/timing of lobbying activity reports),g_036,Frequency of lobbyist disclosure (spending/activity) reporting
OpenSecrets,public_availability_total,"How easily can the public access disclosed information (composite of three sub-facets, total 5 points)",g_009,Composite measure of public accessibility of disclosed information
OpenSecrets,public_avail_search,User-friendly search feature on state lobbying disclosure website,g_007,Searchable interface with simultaneous multi-criteria sorting
OpenSecrets,public_avail_downloads,Availability of downloadable data from the state lobbying disclosure website,g_006,Lobbying data downloadable in open / machine-readable format
OpenSecrets,public_avail_lists,Easily accessible lists of registered lobbyists and clients,g_008,Easily accessible lists of registered lobbyists and clients
Opheim,def.legislative_lobbying,legislative lobbying as a criterion for definition,g_038,Legislative lobbying triggers lobbyist status
Opheim,def.administrative_lobbying,administrative lobbying as a criterion for definition,g_039,Administrative / executive-branch lobbying triggers lobbyist status
Opheim,def.elective_officials,elective officials designated as lobbyists,g_040,Elected officials defined as lobbyists when engaged in lobbying
Opheim,def.public_employees,public employees designated as lobbyists,g_041,Public employees defined as lobbyists when engaged in lobbying
Opheim,def.compensation_standard,specific compensation standard to delineate lobbying activity,g_042,Compensation-based threshold for qualifying as a lobbyist
Opheim,def.expenditure_standard,specific expenditure standard to delineate lobbying activity,g_043,Expenditure-based threshold for qualifying as a lobbyist
Opheim,def.time_standard,specific time standard to delineate lobbying activity,g_044,Time-based threshold for qualifying as a lobbyist
Opheim,disclosure.frequency,Frequency of reporting required of lobbyists,g_036,Frequency of lobbyist disclosure (spending/activity) reporting
Opheim,disclosure.total_spending,lobbyist's total spending,g_079,Total lobbying expenditures disclosed
Opheim,disclosure.spending_by_category,spending by category,g_078,"Spending categorized by type (gifts, entertainment, postage, etc.)"
Opheim,disclosure.expenditures_benefitting_public_employees,expenditures benefitting public employees including gifts,g_089,Expenditures benefiting public officials / employees (incl. gifts) disclosed
Opheim,disclosure.legislation_supported_or_opposed,legislation approved or opposed by the lobbyist,g_085,Issues / legislation / actions sought to influence disclosed (general)
Opheim,disclosure.sources_of_income,sources of income,g_077,Compensation / income broken down by client / employer
Opheim,disclosure.total_income,total income,g_076,Compensation paid to lobbyists disclosed (total / per filer)
Opheim,disclosure.other_influence_peddling_or_conflict_of_interest,other activities that might constitute influence peddling or conflict of interest,g_118,Other influence-peddling / conflict-of-interest activities disclosed
Opheim,enforce.thoroughness_of_reviews,thoroughness of reviews of lobby reports by oversight agency,g_103,Oversight agency conducts mandatory reviews / audits of reports
Opheim,enforce.subpoena_witnesses,whether the agency may subpoena witnesses,g_119,Oversight agency may subpoena witnesses
Opheim,enforce.subpoena_records,subpoena records,g_120,Oversight agency may subpoena records
Opheim,enforce.conduct_administrative_hearings,conduct administrative hearings,g_121,Oversight agency may conduct administrative hearings
Opheim,enforce.impose_administrative_fines,impose administrative fines,g_122,Oversight agency may impose administrative fines
Opheim,enforce.impose_administrative_penalties,impose administrative penalties,g_123,Oversight agency may impose administrative penalties
Opheim,enforce.file_independent_court_actions,file independent court actions,g_124,Oversight agency may file independent court actions
Sunlight,lobbyist_activity,Lobbyist Activity,g_125,Disclosure of lobbyist activity (general / unspecified)
Sunlight,expenditure_transparency,Expenditure Transparency,g_079,Total lobbying expenditures disclosed
Sunlight,expenditure_reporting_thresholds,Expenditure Reporting Thresholds,g_066,Financial-threshold exemption from disclosure exists
Sunlight,document_accessibility,Document Accessibility,g_006,Lobbying data downloadable in open / machine-readable format
Sunlight,lobbyist_compensation,Lobbyist Compensation,g_076,Compensation paid to lobbyists disclosed (total / per filer)
pri_2010,accessibility.Q1,"At least some lobbying data available (in any format) either by request (email, telephone, fax, etc.) or anonymously (web-based).",g_002,Lobbying data available (any format) by request or anonymously online
pri_2010,accessibility.Q2,The state has a dedicated website for lobbying information.,g_001,Online lobbyist register / dedicated state lobbying website exists
pri_2010,accessibility.Q3,How easily a state's lobbying website can be found.,g_003,Findability of state lobbying website
pri_2010,accessibility.Q4,At least some current lobbying data/information available on the website for the most recent year.,g_004,Current-year lobbying data available on the state website
pri_2010,accessibility.Q5,"Historical lobbying information is available, downloadable, or at least viewable on the state's website.",g_005,Historical lobbying data archived / downloadable
pri_2010,accessibility.Q6,"How easily users can download lobbying data and information and analyze it, and specifically, whether users are able to download information in an electronic format that is immediately useable for analysis, such as Excel or SPSS.",g_006,Lobbying data downloadable in open / machine-readable format
pri_2010,accessibility.Q7a,Can users specify data searches on the website by Principal (city; authority hiring; employer; corporation; etc.).,g_010,Search/sort by principal (employer/corporation/city)
pri_2010,accessibility.Q7b,Can users specify data searches on the website by Principal's location (specific address; city).,g_011,Search/sort by principal location
pri_2010,accessibility.Q7c,Can users specify data searches on the website by Lobbyist name.,g_012,Search/sort by lobbyist name
pri_2010,accessibility.Q7d,Can users specify data searches on the website by Lobbyist location (specific address; city).,g_013,Search/sort by lobbyist location
pri_2010,accessibility.Q7e,Can users specify data searches on the website by Specific date.,g_014,Search/sort by specific date
pri_2010,accessibility.Q7f,Can users specify data searches on the website by Specific time period (normally quarter but it depends on how often the law requires data to be disclosed).,g_015,Search/sort by specific time period
pri_2010,accessibility.Q7g,Can users specify data searches on the website by Total expenditures.,g_016,Search/sort by total expenditures
pri_2010,accessibility.Q7h,Can users specify data searches on the website by Compensation spending (portion of total expenditures for which the lobbyist is paid back).,g_017,Search/sort by compensation spending
pri_2010,accessibility.Q7i,Can users specify data searches on the website by Miscellaneous expenses (non-compensation).,g_018,Search/sort by miscellaneous (non-compensation) expenses
pri_2010,accessibility.Q7j,Can users specify data searches on the website by Sources of funding (emphasis on public/taxpayer-funded).,g_019,Search/sort by sources of funding (public/taxpayer-funded)
pri_2010,accessibility.Q7k,Can users specify data searches on the website by Subject of lobbying (or item of legislation).,g_020,Search/sort by subject of lobbying / legislation
pri_2010,accessibility.Q7l,Can users specify data searches on the website by Designated entities assigned to lobbyist (group/congressman the lobbyist is working for).,g_021,Search/sort by designated entities assigned to lobbyist
pri_2010,accessibility.Q7m,Can users specify data searches on the website by Legal status of the principal (government; non-profit; for-profit; etc.).,g_022,Search/sort by legal status of principal
pri_2010,accessibility.Q7n,Can users specify data searches on the website by Sector (transport; energy; banking; education; social services; etc.).,g_023,Search/sort by sector
pri_2010,accessibility.Q7o,Can users specify data searches on the website by Sub-sector (K–12; secondary; vocational; etc.).,g_024,Search/sort by sub-sector
pri_2010,accessibility.Q8,Users can simultaneously sort lobbying data by multiple criteria.,g_007,Searchable interface with simultaneous multi-criteria sorting
pri_2010,disclosure.A1,Lobbyists.,g_046,Lobbyists required to file a registration form
pri_2010,disclosure.A2,Volunteer lobbyists.,g_047,Volunteer lobbyists required to register
pri_2010,disclosure.A3,Principals who employ a lobbyist.,g_048,Principals (lobbyist employers) required to register
pri_2010,disclosure.A4,Lobbying firms.,g_049,Lobbying firms required to register
pri_2010,disclosure.A5,Governor's office.,g_050,Governor's office required to register
pri_2010,disclosure.A6,Executive branch agencies.,g_051,Executive-branch agencies required to register
pri_2010,disclosure.A7,Legislative branch.,g_052,Legislative branch required to register
pri_2010,disclosure.A8,Independent agencies.,g_053,Independent agencies required to register
pri_2010,disclosure.A9,Local governments.,g_054,Local governments required to register
pri_2010,disclosure.A10,Government agencies who lobby other agencies.,g_055,Government agencies that lobby other agencies required to register
pri_2010,disclosure.A11,"Public entities, other than government agencies.",g_056,Public entities (other than government agencies) required to register
pri_2010,disclosure.B1,Is there an exemption for government agencies and/or public officials acting within their official capacity?,g_057,Exemption for government agencies / officials acting in official capacity
pri_2010,disclosure.B2,Are government agencies relieved and/or exempted (partially) from the regulations imposed on non-government organizations and individuals?,g_058,Government agencies partially exempt from regulations imposed on private orgs
pri_2010,disclosure.B3,Are government agencies subject to the same disclosure requirements as lobbyists?,g_059,Government agencies subject to same disclosure requirements as lobbyists
pri_2010,disclosure.B4,Are government agencies subject to the same disclosure requirements as principals?,g_060,Government agencies subject to same disclosure requirements as principals
pri_2010,disclosure.C0,"Does the law include a definition of ""public entity""?",g_061,Statutory definition of 'public entity' exists in lobbying law
pri_2010,disclosure.C1,Definition relies on Ownership.,g_062,Public-entity definition relies on ownership criterion
pri_2010,disclosure.C2,Definition relies on Structure or composition of revenue.,g_063,Public-entity definition relies on revenue structure / composition
pri_2010,disclosure.C3,Definition relies on Public charter or special government protection.,g_064,Public-entity definition relies on public charter / special protection
pri_2010,disclosure.D0,Does the law include a materiality test (ability to exempt) for coverage in disclosure regulations?,g_065,Materiality test (exemption mechanism) exists in disclosure law
pri_2010,disclosure.D1_present,Financial threshold exists: if expenses are less than some dollar threshold the entity is exempted from filing disclosure.,g_066,Financial-threshold exemption from disclosure exists
pri_2010,disclosure.D1_value,Dollar threshold value (USD) for financial-threshold exemption.,g_067,Dollar value of financial-threshold exemption
pri_2010,disclosure.D2_present,Time threshold exists: if amount of time devoted to lobbying is less than a threshold percentage of an individual's compensated time the individual or entity is exempted from filing disclosure.,g_068,Time-threshold exemption from disclosure exists
pri_2010,disclosure.D2_value,Percentage threshold value for time-threshold exemption.,g_069,Percentage value of time-threshold exemption
pri_2010,disclosure.E1a,Are principals required to disclose?,g_091,Principals / employers required to file disclosure reports
pri_2010,disclosure.E1b,Are principals required to disclose their address and phone number?,g_129,Address / phone / website / contact details of all parties disclosed
pri_2010,disclosure.E1c,Are principals required to disclose the names of all the lobbyists representing them?,g_073,Lobbyist-principal (client/employer) relationships disclosed
pri_2010,disclosure.E1d,Are principals required to disclose the address and phone number of contracted lobbyists?,g_129,Address / phone / website / contact details of all parties disclosed
pri_2010,disclosure.E1e,Are principals required to disclose the nature of the business (public or private)?,g_130,"Legal form / nature of business (public, private, NGO, government) disclosed"
pri_2010,disclosure.E1f_i,Required component of disclosure report: Direct lobbying costs (compensation).,g_076,Compensation paid to lobbyists disclosed (total / per filer)
pri_2010,disclosure.E1f_ii,Required component of disclosure report: Indirect lobbying costs (non-compensation).,g_151,Indirect (non-compensation) lobbying costs disclosed
pri_2010,disclosure.E1f_iii,"Required component of disclosure report: Other costs such as gifts, entertainment, transportation, and lodging.",g_152,"Other costs (gifts, entertainment, transportation, lodging) disclosed"
pri_2010,disclosure.E1f_iv,Is the information disclosed in an itemized format (as opposed to an aggregated or lump-sum amount)?,g_080,Itemized format required for spending disclosure
pri_2010,disclosure.E1g_i,Are principals required to disclose information on the issue lobbied by the general issues lobbied?,g_085,Issues / legislation / actions sought to influence disclosed (general)
pri_2010,disclosure.E1g_ii,Are principals required to disclose information on the issue lobbied by the specific bill number or legislation ID?,g_086,Specific bill numbers / legislation IDs disclosed
pri_2010,disclosure.E1h_i,Reporting frequency option: Monthly.,g_153,Reporting frequency option: Monthly
pri_2010,disclosure.E1h_ii,Reporting frequency option: Quarterly.,g_154,Reporting frequency option: Quarterly
