paper_id	indicator_id	indicator_text	section_or_category	indicator_type	scoring_rule	source_quote	notes
opheim_1991	disclosure.frequency	Frequency of reporting required of lobbyists	Frequency and quality of disclosure	categorical	"States which require reports to be filed monthly during the session or both in and out of session were coded 1, while states which require reports quarterly, semi-annually, or annually were coded 0."	"Frequency of reporting was coded dichotomously to reflect the most extreme differences in frequency. States which require reports to be filed monthly during the session or both in and out of session were coded 1" [papers/text/Opheim_1991__state_lobby_regulation.txt:115-118]	One of two items where finer distinctions were lost in 0/1 coding (per Opheim, line 152-154). Source: CSG Book of the States 1988-89 (the only item NOT from Blue Book per footnote 1).
opheim_1991	disclosure.total_spending	lobbyist's total spending	Frequency and quality of disclosure	boolean	"These seven categories were each coded dichotomously depending on whether the state required they be reported."	"Information disclosed in these reports includes the lobbyist's total spending" [papers/text/Opheim_1991__state_lobby_regulation.txt:119;128-129]	BoS-defined (CSG Blue Book 1988-89).
opheim_1991	disclosure.spending_by_category	spending by category	Frequency and quality of disclosure	boolean	"These seven categories were each coded dichotomously depending on whether the state required they be reported."	"spending by category" [papers/text/Opheim_1991__state_lobby_regulation.txt:129-130]	BoS-defined (CSG Blue Book 1988-89). Opheim does not enumerate the categories.
opheim_1991	disclosure.expenditures_benefitting_public_employees	expenditures benefitting public employees including gifts	Frequency and quality of disclosure	boolean	"These seven categories were each coded dichotomously depending on whether the state required they be reported."	"expenditures benefitting public employees including gifts" [papers/text/Opheim_1991__state_lobby_regulation.txt:130]	BoS-defined (CSG Blue Book 1988-89). "Including gifts" is part of the verbatim phrasing - kept as one item rather than split.
opheim_1991	disclosure.legislation_supported_or_opposed	legislation approved or opposed by the lobbyist	Frequency and quality of disclosure	boolean	"These seven categories were each coded dichotomously depending on whether the state required they be reported."	"legislation approved or opposed by the lobbyist" [papers/text/Opheim_1991__state_lobby_regulation.txt:130-131]	BoS-defined (CSG Blue Book 1988-89).
opheim_1991	disclosure.sources_of_income	sources of income	Frequency and quality of disclosure	boolean	"These seven categories were each coded dichotomously depending on whether the state required they be reported."	"sources of income" [papers/text/Opheim_1991__state_lobby_regulation.txt:131]	BoS-defined (CSG Blue Book 1988-89).
opheim_1991	disclosure.total_income	total income	Frequency and quality of disclosure	boolean	"These seven categories were each coded dichotomously depending on whether the state required they be reported."	"total income" [papers/text/Opheim_1991__state_lobby_regulation.txt:131-132]	BoS-defined (CSG Blue Book 1988-89).
opheim_1991	disclosure.other_influence_peddling_or_conflict_of_interest	other activities that might constitute influence peddling or conflict of interest	Frequency and quality of disclosure	boolean	"These seven categories were each coded dichotomously depending on whether the state required they be reported."	"other activities that might constitute influence peddling or conflict of interest" [papers/text/Opheim_1991__state_lobby_regulation.txt:132-133]	BoS-defined (CSG Blue Book 1988-89). Catch-all category - operational definition fully implicit; Opheim does not enumerate what activities qualify.
opheim_1991	enforce.section_total	Oversight and enforcement of regulations (7 items)	Oversight and enforcement of regulations	numeric	Sum of one thoroughness item plus six prosecutorial-authority items.	"(3) oversight and enforcement of regulations (seven items)" [papers/text/Opheim_1991__state_lobby_regulation.txt:94]	Composite (sub-aggregate). Decomposes into 1 thoroughness item + 6 prosecutorial-authority items below. Note: Opheim's prose says "Six items measure the rigor of this authority" (line 145) and lists six items, but the section is described as 7 items total - the 7th is the thoroughness-of-review item.
opheim_1991	enforce.thoroughness_of_reviews	thoroughness of reviews of lobby reports by oversight agency	Oversight and enforcement of regulations	categorical	"the thoroughness of reviews was coded (1 for review of all reports, 0 for less extensive review)"	"Thus the thoroughness of reviews was coded (1 for review of all reports, 0 for less extensive review)." [papers/text/Opheim_1991__state_lobby_regulation.txt:140-142]	One of two items where finer distinctions were lost in 0/1 coding (per Opheim, line 152-154); intermediate possibilities (e.g., random/complaint-based review) collapsed to 0. BoS-defined (CSG Blue Book 1988-89).
opheim_1991	enforce.subpoena_witnesses	whether the agency may subpoena witnesses	Oversight and enforcement of regulations	boolean	"states were coded 1 if the agency possessed this authority and 0 if it did not"	"whether the agency may subpoena witnesses" [papers/text/Opheim_1991__state_lobby_regulation.txt:146-147]	BoS-defined (CSG Blue Book 1988-89). Refers to the agency or commission charged with regulating lobbyists.
opheim_1991	enforce.subpoena_records	subpoena records	Oversight and enforcement of regulations	boolean	"states were coded 1 if the agency possessed this authority and 0 if it did not"	"subpoena records" [papers/text/Opheim_1991__state_lobby_regulation.txt:147]	BoS-defined (CSG Blue Book 1988-89).
opheim_1991	enforce.conduct_administrative_hearings	conduct administrative hearings	Oversight and enforcement of regulations	boolean	"states were coded 1 if the agency possessed this authority and 0 if it did not"	"conduct administrative hearings" [papers/text/Opheim_1991__state_lobby_regulation.txt:147-148]	BoS-defined (CSG Blue Book 1988-89).
opheim_1991	enforce.impose_administrative_fines	impose administrative fines	Oversight and enforcement of regulations	boolean	"states were coded 1 if the agency possessed this authority and 0 if it did not"	"impose administrative fines, impose administrative penalties" [papers/text/Opheim_1991__state_lobby_regulation.txt:148]	BoS-defined (CSG Blue Book 1988-89). Atomization quirk: Opheim lists "impose administrative fines" and "impose administrative penalties" as distinct items in the same sentence; kept as separate per Opheim's enumeration even though they are conceptually overlapping. The distinction is unexplained in the paper.
opheim_1991	enforce.impose_administrative_penalties	impose administrative penalties	Oversight and enforcement of regulations	boolean	"states were coded 1 if the agency possessed this authority and 0 if it did not"	"impose administrative fines, impose administrative penalties" [papers/text/Opheim_1991__state_lobby_regulation.txt:148]	BoS-defined (CSG Blue Book 1988-89). See enforce.impose_administrative_fines note - distinction between fines and penalties is unexplained.
opheim_1991	enforce.file_independent_court_actions	file independent court actions	Oversight and enforcement of regulations	boolean	"states were coded 1 if the agency possessed this authority and 0 if it did not"	"or file independent court actions." [papers/text/Opheim_1991__state_lobby_regulation.txt:148-149]	BoS-defined (CSG Blue Book 1988-89).
