principal_id	id	name	source_state	classification	legal_form	sector	contact_details_json	ceo_name	business_or_interest	lobbying_interests_prose
10959	WI-principal-10959	GROWMARK, Inc.	WI				"[{""type"":""address"",""value"":""1705 Towanda Avenue\nBloomington, Il 61701"",""note"":""""},{""type"":""phone"",""value"":""309-557-6600"",""note"":""""},{""type"":""email"",""value"":""ckaeb@growmark.com"",""note"":""""},{""type"":""website"",""value"":""http://www.growmark.com"",""note"":""""}]"	Mark Orr	Agriculture and energy supply cooperative	Agriculture; Appropriations, Budget or Revenue; Banking and Financial Services; Coal, Petroleum or Energy; Economic Development; Environment; Food, Nutrition or Food Safety; Health Care; Information or Technology Products or Services; Insurance; Labor; Taxation - State or Local; Transportation
10960	WI-principal-10960	Association of Wisconsin School Administrators	WI				"[{""type"":""address"",""value"":""4797 Hayes Rd  Ste 1\nMadison, WI 53704"",""note"":""""},{""type"":""phone"",""value"":""(608) 241-0300"",""note"":""""},{""type"":""email"",""value"":""jimlynch@awsa.org"",""note"":""""},{""type"":""website"",""value"":""http://www.awsa.org"",""note"":""""}]"	Jim Lynch	Providing professional services to school administrators through inservices, publications, research, and field services.	The Assn will primarily attempt to influence legislation and administrative rules governing public PK-12 education.  They will also attemp to influence legislation and administrative rules involving telecommunications, food and drugs, child welfare, social services, taxation, trust funds, and transportation issues that pertain to PK-12 education.
10961	WI-principal-10961	Wisconsin Transportation Builders Association	WI				"[{""type"":""address"",""value"":""1 E. Main St, Suite 300\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""(608) 256-6891"",""note"":""""},{""type"":""email"",""value"":""sbaas@wtba.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wtba.org"",""note"":""""}]"	Steve Baas	Transportation construction contractors, suppliers and consultants.	Transportation legislation, including programs, financing and regulations.  Environmental legislation impacting transportation use and/or construction, including land use, contamination remediation, run-off, air and water quality, etc.  Labor; unemployment compensation and worker compensation issues, such as prevailing wage; and health and safety issues.
10962	WI-principal-10962	Faith in Place Action Fund	WI				"[{""type"":""address"",""value"":""1221 Muirfield Ct\nMiddleton, WI 53562"",""note"":""""},{""type"":""phone"",""value"":""608-215-0112"",""note"":""""},{""type"":""email"",""value"":""laura@faithinplace.org"",""note"":""""},{""type"":""website"",""value"":""https://www.faithinplaceaction.org/"",""note"":""""}]"		Climate Action Campaign, Joyce Foundation, Interfaith Power and Light, Renew Wisconsin Inc. - Energy Foundation	The policy areas our organization may attempt to influence include clean water, climate change, economic justice, environmental health, food access, and voting rights.
10963	WI-principal-10963	Wisconsin Association of School Business Officials	WI				"[{""type"":""address"",""value"":""4797 Hayes Rd, Ste 202\nMadison, WI 53704"",""note"":""""},{""type"":""phone"",""value"":""(608) 249-8588"",""note"":""""},{""type"":""email"",""value"":""mike.barry@wasbo.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wasbo.com"",""note"":""""}]"	Mike Barry	WASBO membership includes those persons who are non-teaching employees and affiliate members who provide goods and services to school districts.	The WASBO will primarily attempt to influence legislation and administrative rules governing K-12 education.  Telecommunications, food and drugs, child welfare, social services, taxation, trust funds and transportation are other areas of interest.
10964	WI-principal-10964	Green Bay Metropolitan Sewerage District	WI				"[{""type"":""address"",""value"":""2231 North Quincy Street\nGreen Bay , WI 54302"",""note"":""""},{""type"":""phone"",""value"":""920-438-1032"",""note"":""""},{""type"":""email"",""value"":""nqualls@newwater.us"",""note"":""""},{""type"":""website"",""value"":""http://www.newwater.us"",""note"":""""}]"		Municipal Wastewater Conveyance and Treatment	Clean Water Fund Loan Program, Wastewater Treatment Plant Effluent and Air Emissions, Emerging Contaminants , Watershed, and any other legislative and regulatory matters that may affect Metropolitan Sewerage District.
10965	WI-principal-10965	Wisconsin Council for Administrators of Special Services	WI				"[{""type"":""address"",""value"":""4075 Vilas Road\nCottage Grove, WI 53527"",""note"":""""},{""type"":""phone"",""value"":""(608) 204-9819"",""note"":""""},{""type"":""email"",""value"":""jim.heiden@wcass.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wcass.org"",""note"":""""}]"	James Heiden	Administrators of Special Education, Pupil Services, Special Services.	The WCASS will primarily attempt to influence legislation and administrative rules governing PK-12 education.  The WCASS will also attempt to influence legislation and administrative rules involving telecommunications, food and drugs, child welfare, social services, taxation, trust funds, and transportation issues that pertain to PK-12 education.
10966	WI-principal-10966	Wisconsin Association of School District Administrators	WI				"[{""type"":""address"",""value"":""4797 Hayes Rd\nMadison, WI 53704"",""note"":""""},{""type"":""phone"",""value"":""(608) 242-1090"",""note"":""""},{""type"":""email"",""value"":""jbales@wasda.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wasda.org"",""note"":""""}]"	Jon Bales	Chief school district administrators in Wisconsin's public schools.	Education, food and drugs, insurance, social services, taxation, trust funds, transportation, Dept. of Employee Trust Funds, DPI, VTAE and labor. The above items only as they pertain to K-12 education.
10967	WI-principal-10967	Wisconsin Association of School Personnel Administrators	WI				"[{""type"":""address"",""value"":""4075 Vilas Road\nCottage Grove, WI 53527"",""note"":""""},{""type"":""phone"",""value"":""608-204-9819"",""note"":""""},{""type"":""email"",""value"":""execdirector@waspa.org"",""note"":""""},{""type"":""website"",""value"":""http://www.waspa.org"",""note"":""""}]"	Michelle Golden	WASPA is a non-profit professional association of Wisconsin school district human resource professionals and Wisconsin college and university educational placement officials.	"""Enhancing Wisconsin K-12 public education by connecting colleges, universities and educators to schools and students through human resource best practices."""
10968	WI-principal-10968	Wisconsin Institute of Certified Public Accountants	WI				"[{""type"":""address"",""value"":""W233N2080 Ridgeview Parkway, Suite 201\nWaukesha, WI 53188"",""note"":""""},{""type"":""phone"",""value"":""(262) 785-0445"",""note"":""""},{""type"":""email"",""value"":""tammy@wicpa.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wicpa.org"",""note"":""""}]"	Tammy Hofstede	Voluntary membership association of Certified Public Accountants.	Accounting, taxation, civil liability, business and professional regulation and state government.
10969	WI-principal-10969	The Pew Charitable Trusts	WI				"[{""type"":""address"",""value"":""901 E St NW\nWashington, DC 20004"",""note"":""""},{""type"":""phone"",""value"":""(202) 552-2000"",""note"":""""},{""type"":""email"",""value"":""pewlobbyingcompliance@pewtrusts.org"",""note"":""""},{""type"":""website"",""value"":""http://www.pewtrusts.org"",""note"":""""}]"		Non-profit research and advocacy.	Pew is working with legislative branch officials in Wisconsin to craft recommendations and pursuing policies that support Pew’s Substance Use Prevention and Treatment Initiative.
10970	WI-principal-10970	Wisconsin Motor Carriers Association	WI				"[{""type"":""address"",""value"":""PO Box 44849\nMadison, WI 53744"",""note"":""""},{""type"":""phone"",""value"":""(608) 833-8200 x170"",""note"":""""},{""type"":""email"",""value"":""djohnson@witruck.org"",""note"":""""},{""type"":""website"",""value"":""http://www.witruck.org"",""note"":""""}]"	Dan Johnson	Trade association representing truck, tow, milk hauler, motor coach and moving companies (owners and officers).	Rules governing the administration and operation of the Department of Transportation, including Division of Motor Vehicles; Rules governing taxation in the Dept. of Revenue; Rules governing environmental regulations (clean air, water, stormwater runoff, etc.) within the Dept. of Natural Resources;  Rules governing apprenticeship or other training requirements; workers' compensation & unemployment compensation; Rules governing the transportation of hazardous materials.
10973	WI-principal-10973	Secure Elections Project	WI				"[{""type"":""address"",""value"":""130 Neill Ave Ste E\nHelena, MT 59601"",""note"":""""},{""type"":""phone"",""value"":""(406) 417-0572"",""note"":""""},{""type"":""email"",""value"":""operations@secureelectionsproject.org"",""note"":""""},{""type"":""website"",""value"":""https://www.secureelectionsproject.org/"",""note"":""""}]"		Advocacy group	All matters relating to election reform.
10975	WI-principal-10975	Benedict Center	WI				"[{""type"":""address"",""value"":""1849 N Martin Luther King Drive\nMilwaukee, WI 53212"",""note"":""""},{""type"":""phone"",""value"":""414.347.1774"",""note"":""""},{""type"":""email"",""value"":""jgeraci@benedictcenter.org"",""note"":""""},{""type"":""website"",""value"":""http://www.benedictcenter.org"",""note"":""""}]"		Social service agency providing behavioral health and support services for low-income women impacted by the criminal justice system with a focus on  substance use, mental health and trauma issues.	Victim Services, Behavioral Health Services, Criminal Justice
10976	WI-principal-10976	Great Lakes Credit & Collection Association	WI				"[{""type"":""address"",""value"":""4040 W 70th St\nMinneapolis, MN 55439"",""note"":""""},{""type"":""phone"",""value"":""6082257477"",""note"":""""},{""type"":""email"",""value"":""Schoenberg@acainternational.org"",""note"":""""},{""type"":""website"",""value"":""http://www.glcca.org"",""note"":""""}]"	Tammy Schoenberg	Credit and collection professionals in Illinois, Minnesota and Wisconsin.	Issues that affect debt collection agencies ability to operate and issues that affect the collection industry as a whole.
10977	WI-principal-10977	Water Quality Association of Wisconsin	WI				"[{""type"":""address"",""value"":""P.O. Box 606\nKewaskum, WI 53040"",""note"":""""},{""type"":""phone"",""value"":""(608) 225-7477"",""note"":""""},{""type"":""email"",""value"":""michellekussow@gmail.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wqaw.com"",""note"":""""}]"	Sam Baron	The Water Quality Association of Wisconsin represents manufacturers, suppliers, and  retail distributors of water treatment devices, replacement chemicals, filter cartridges, and bottled water. Manufacture and distribution of water treatment appliances and products. Retail sale and rental of water treatment appliances, including installation and products. Delivery of sale, bottled water and other water treatment chemicals and supplies. Repair and programming of water treatment appliances. Water analysis.	The Water Quality Association of Wisconsin may enter comment on matters of water quality, plumbing code, DNR code, licensing and registrations, marketing rules, transportation rules and fees, and small business regulations.
10978	WI-principal-10978	Milwaukee County War Memorial, Inc.	WI				"[{""type"":""address"",""value"":""750 North Lincoln Memorial Drive, Suite 315\nMilwaukee, WI 53202"",""note"":""""},{""type"":""phone"",""value"":""414.273.5533"",""note"":""""},{""type"":""email"",""value"":""vchappell@warmemorialcenter.org"",""note"":""""},{""type"":""website"",""value"":""https://warmemorialcenter.org/"",""note"":""""}]"		Veteran Service Organization	All matters related to the long-term financial solvency of Milwaukee County War Memorial, Inc.
10979	WI-principal-10979	Wisconsin Right to Life Inc	WI				"[{""type"":""address"",""value"":""5317 N. 118th Ct.\nMilwaukee, WI 53225"",""note"":""""},{""type"":""phone"",""value"":""(414) 778-5780"",""note"":""""},{""type"":""email"",""value"":""hweininger@wrtl.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wrtl.org"",""note"":""""}]"		WRTL is a human rights organization seeking to protect human life from fertilization to natural death.	Legislation dealing with abortion, alternatives to abortion, euthanasia, assisted suicide, infanticide, protection of human embryos, related health care; legislation and issues affecting our organization which includes campaign finance reform.
10980	WI-principal-10980	Disability Service Provider Network	WI				"[{""type"":""address"",""value"":""2418 Crossroads Drive Suite 1600\nMadison, WI 53718"",""note"":""""},{""type"":""phone"",""value"":""6082065206"",""note"":""""},{""type"":""email"",""value"":""ecorning@dspn.org"",""note"":""""},{""type"":""website"",""value"":""http://www.dspn.org"",""note"":""""}]"	Emma Corning	Membership association of service providers providing the full array of support services to people with disabilities.	Interests include disability policy spanning Medicaid Long-Term Care, Division of Vocational Rehabilition, employment, and other issues impacting providers and people with disabilities such as workforce development (caregiver shortage); tax code; workers compensation; and other types of legislation or administrative action impacting long-term care service delivery to people with disabilities.
10984	WI-principal-10984	Wisconsin Fuel & Retail Association (WFRA)	WI				"[{""type"":""address"",""value"":""PO Box 2536\nMadison, WI 53701"",""note"":""""},{""type"":""phone"",""value"":""(608) 256-7555"",""note"":""""},{""type"":""email"",""value"":""hauser@wfra.org"",""note"":""""},{""type"":""website"",""value"":""http://www.wfra.org"",""note"":""""}]"	Matthew Hauser	Fuel wholesaling and retailing, food retailing, truck stops and travel plazas, convenience stores, service stations	The Wisconsin Fuel & Retail Association (WFRA) may attempt to influence legislation and administrative rules in the areas of taxation, environment, commerce, transportation, the lottery, energy regulation and policy, consumer affairs, and any other areas that could impact our industry.
10985	WI-principal-10985	Wisconsin Association of School Boards Inc	WI				"[{""type"":""address"",""value"":""122 W Washington Ave, Ste 400\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""608-512-1716"",""note"":""""},{""type"":""email"",""value"":""ckulow@wasb.org"",""note"":""""},{""type"":""website"",""value"":""http://wasb.org"",""note"":""""}]"		Locally elected school board members.	The Wisconsin Association of School Boards seeks to have input on legislation that impacts the educational programs of school districts, and any legislation that would impact  their operation.  With respect to operations, this could include employment, insurance, taxation, election, technology licensing, transportation and other areas of legislation that have not been identified.
10986	WI-principal-10986	Professional Fire Fighters of Wisconsin Inc	WI				"[{""type"":""address"",""value"":""106 E Doty St Suite 210\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""(608) 255-0566"",""note"":""""},{""type"":""email"",""value"":""rzelenkove@hwz-gov.com"",""note"":""""},{""type"":""website"",""value"":""http://www.pffw.org"",""note"":""""}]"		We are interested in all issues that affect firefighters and EMS personnel.	Any item that impacts fire fighters and the communities they serve.
10987	WI-principal-10987	Capital Area Regional Planning Commission	WI				"[{""type"":""address"",""value"":""100 State Street\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""6083348698"",""note"":""""},{""type"":""email"",""value"":""allisonm@capitalarearpc.org"",""note"":""""},{""type"":""website"",""value"":""http://www.capitalarearpc.org/"",""note"":""""}]"		The Capital Area Regional Planning Commission represents the communities and residents and future residents of the region.	During the 2025-26 legislative session, the Capital Area Regional Planning Commission will lobby around issues of water quality, working to protect freshwater resources.
10989	WI-principal-10989	National Waste & Recycling Association	WI				"[{""type"":""address"",""value"":""1550 Crystal Drive, Suite 804\nArlington, VA 22202"",""note"":""""},{""type"":""phone"",""value"":""(859) 466-1984"",""note"":""""},{""type"":""email"",""value"":""kevans@wasterecycling.com"",""note"":""""},{""type"":""website"",""value"":""http://www.wasterecycling.org"",""note"":""""}]"	Michael Hoffman	Private sector waste and recycling industry.	NWRA advocates on legislative and regulatory initiatives surrounding solid waste collection, transportation, processing, recycling and disposal.  This necessarily involves subset issues on taxation, privatization, competition, facility siting, environmental regulations, among others.
10990	WI-principal-10990	RAI Services Company (formerly Reynolds American Inc.)	WI				"[{""type"":""address"",""value"":""401 North Main Street\nWinston-Salem, NC 27102"",""note"":""""},{""type"":""phone"",""value"":""(336) 741-3372"",""note"":""""},{""type"":""email"",""value"":""cookk4@rjrt.com"",""note"":""""}]"	David Waterfield	Tobacco manufacturer.	"Legislation impacting RAI Services Company; tobacco issues.
Topics: Smoking policies and tax
Tax of tobacco products
Regulation of internet tobacco sales
Statewide smoking policies
Tax Stamp Study
The electronic cigarette

Budget Bill Subjects:
Dept. of Revenue"
10994	WI-principal-10994	Sentry Insurance Company	WI				"[{""type"":""address"",""value"":""25 West Main Street, Suite 500\nMadison, WI 53703"",""note"":""""},{""type"":""phone"",""value"":""608-826-3272"",""note"":""""},{""type"":""email"",""value"":""tony.trenzeluk@sentry.com"",""note"":""""},{""type"":""website"",""value"":""http://www.sentry.com"",""note"":""""}]"	Pete McPartland	Nationwide writer of property and casualty, workers' compensation, and life insurance products.	Matters pertaining to property and casualty insurance, including but not limited to liability law, insurance regulation, insurance taxation, operation of civil justice system, workers' compensation, and life insurance.
10996	WI-principal-10996	WiRSA - Wisconsin Rural Schools Alliance	WI				"[{""type"":""address"",""value"":""725 Crockett Dr.\nHolmen, WI 54636"",""note"":""""},{""type"":""phone"",""value"":""(608) 769-0516"",""note"":""""},{""type"":""email"",""value"":""jeffeide@wirsa.org"",""note"":""""},{""type"":""website"",""value"":""http://wirsa.org"",""note"":""""}]"		Educational Policy	Educational Policy
