principal_id	bucket	item_id	item_name	item_description	period_label	percent
10936	Legislative Bills/Resolutions	25886	Senate Bill 559	Relating to: authorizing community solar programs and granting rule-making authority. (FE)	2025 July - December	5%
10936	Legislative Bills/Resolutions	26234	Assembly Bill 751	Relating to: calculation of fuel costs for an electric public utility’s fuel cost plan.	2025 July - December	10%
10936	Legislative Bills/Resolutions	26237	Senate Bill 733	Relating to: calculation of fuel costs for an electric public utility’s fuel cost plan.	2025 July - December	10%
10936	Topics Not Yet Assigned A Bill Or Rule Number	56835	Authorizing community solar programs.		2025 January - June	15%
10936	Topics Not Yet Assigned A Bill Or Rule Number	56835	Authorizing community solar programs.		2025 July - December	15%
10936	Topics Not Yet Assigned A Bill Or Rule Number	62625	support our distribution and generation by supporting legislation that gives the right of first refusal for transmission companies to build transmission		2025 January - June	5%
10936	Topics Not Yet Assigned A Bill Or Rule Number	62732	Utility aid (utility shared revenue) for energy storage		2025 January - June	10%
10937	Budget Bill Subjects	1290	Natural Resources: Forestry		2025 January - June	60%
10937	Legislative Bills/Resolutions	24860	Senate Bill 158	Relating to: county forest administration grant eligibility.	2025 January - June	10%
10937	Legislative Bills/Resolutions	24942	Assembly Bill 181	Relating to: county forest administration grant eligibility.	2025 January - June	10%
10937	Legislative Bills/Resolutions	25955	Assembly Bill 612	Relating to: the Warren Knowles-Gaylord Nelson stewardship 2000 program, a major land acquisitions program, and making an appropriation. (FE)	2025 July - December	20%
10937	Topics Not Yet Assigned A Bill Or Rule Number	59675	All matters pertaining to county forests and §28.10 & 28.11		2025 July - December	30%
10937	Topics Not Yet Assigned A Bill Or Rule Number	59676	All matter pertaining to the Department of Natural Resources including but not limited to funding, budgets, staffing, NR code, NRB, etc		2025 July - December	20%
10937	Topics Not Yet Assigned A Bill Or Rule Number	59698	All matters pertaining to the Knowles Nelson Stewardship Program including but not limited to funding and reauthorization.		2025 January - June	20%
10937	Topics Not Yet Assigned A Bill Or Rule Number	60672	SB158/ AB181 – modifying and creating administrative rules related to county forest administration grant		2025 July - December	30%
10938	Budget Bill Subjects	1229	Administration: Departmentwide		2025 January - June	27%
10938	Budget Bill Subjects	1241	Children and Families: Departmentwide		2025 January - June	55%
10938	Budget Bill Subjects	1241	Children and Families: Departmentwide		2025 July - December	16%
10938	Topics Not Yet Assigned A Bill Or Rule Number	62873	Allocations for Civil Legal Aid		2025 January - June	18%
10938	Topics Not Yet Assigned A Bill Or Rule Number	62873	Allocations for Civil Legal Aid		2025 July - December	84%
10939	Budget Bill Subjects	1319	Tourism: Tourism Development and Promotion		2025 January - June	15%
10939	Budget Bill Subjects	1335	Wisconsin Economic Development Corporation		2025 January - June	15%
10939	Topics Not Yet Assigned A Bill Or Rule Number	62720	Tourism Promotion Improvement Districts		2025 January - June	20%
10939	Topics Not Yet Assigned A Bill Or Rule Number	62720	Tourism Promotion Improvement Districts		2025 July - December	30%
10940	Topics Not Yet Assigned A Bill Or Rule Number	63304	Pediatric Cancer Research Grant Fund		2025 January - June	100%
10940	Topics Not Yet Assigned A Bill Or Rule Number	63304	Pediatric Cancer Research Grant Fund		2025 July - December	100%
10941	Legislative Bills/Resolutions	26129	Assembly Bill 699	Relating to: a long-term care insurance assessment and a long-term care insurance assessment tax credit. (FE)	2025 July - December	30%
10941	Legislative Bills/Resolutions	26130	Assembly Bill 700	Relating to: an appropriation for refundable long-term care insurance assessment credits and making an appropriation. (FE)	2025 July - December	30%
10941	Legislative Bills/Resolutions	26134	Senate Bill 683	Relating to: an appropriation for refundable long-term care insurance assessment credits and making an appropriation. (FE)	2025 July - December	20%
10941	Legislative Bills/Resolutions	26135	Senate Bill 684	Relating to: a long-term care insurance assessment and a long-term care insurance assessment tax credit. (FE)	2025 July - December	20%
10941	Topics Not Yet Assigned A Bill Or Rule Number	60042	the NAIC Life and Health Insurance Guaranty Association Model Act.		2025 January - June	100%
10942	Legislative Bills/Resolutions	25669	Senate Bill 497	Relating to: outdoor advertising signs that do not conform to local ordinances and that are affected by certain transportation-related projects; compensation for takings of signs, and appraisals upon which jurisdictional offers are based. (FE)	2025 July - December	15%
10942	Legislative Bills/Resolutions	25718	Assembly Bill 502	Relating to: outdoor advertising signs that do not conform to local ordinances and that are affected by certain transportation-related projects; compensation for takings of signs, and appraisals upon which jurisdictional offers are based. (FE)	2025 July - December	15%
10942	Legislative Bills/Resolutions	25747	Senate Bill 525	Relating to: removal of vegetation obstructing outdoor advertising signs.	2025 July - December	15%
10942	Legislative Bills/Resolutions	25775	Assembly Bill 521	Relating to: removal of vegetation obstructing outdoor advertising signs.	2025 July - December	15%
10942	Topics Not Yet Assigned A Bill Or Rule Number	56858	state regulation of outdoor advertising signs		2025 January - June	70%
10942	Topics Not Yet Assigned A Bill Or Rule Number	56858	state regulation of outdoor advertising signs		2025 July - December	20%
10943	Budget Bill Subjects	1329	University of Wisconsin System		2025 January - June	30%
10943	Budget Bill Subjects	1346	Program Supplements: Employee Compensation and Support		2025 January - June	10%
10944	Topics Not Yet Assigned A Bill Or Rule Number	56885	Increase in Free & Charitable Clinic Grant Funding to $3M/Year		2025 January - June	95%
10944	Topics Not Yet Assigned A Bill Or Rule Number	56885	Increase in Free & Charitable Clinic Grant Funding to $3M/Year		2025 July - December	100%
10945	Legislative Bills/Resolutions	25139	Senate Bill 258	Relating to: advanced practice registered nurses, extending the time limit for emergency rule procedures, providing an exemption from emergency rule procedures, and granting rule-making authority. (FE)	2025 January - June	10%
10945	Legislative Bills/Resolutions	26355	Assembly Bill 799	Relating to: a health professional assistance program and making an appropriation. (FE)	2025 July - December	40%
10945	Topics Not Yet Assigned A Bill Or Rule Number	56878	Prior Authorization interfering with needed patient care		2025 January - June	20%
10945	Topics Not Yet Assigned A Bill Or Rule Number	56882	Establishment of and support for physician professional health program, potentially expandable		2025 January - June	20%
10948	Legislative Bills/Resolutions	25753	Senate Bill 531	Relating to: postloss assignment of rights or benefits under property insurance policies to residential contractors and providing a penalty. (FE)	2025 July - December	25%
10948	Topics Not Yet Assigned A Bill Or Rule Number	62268	Litigation Lending		2025 January - June	15%
10948	Topics Not Yet Assigned A Bill Or Rule Number	62926	Assignment of Benefits Prohibition		2025 January - June	10%
10948	Topics Not Yet Assigned A Bill Or Rule Number	62927	Catastrophe Savings Accounts		2025 January - June	5%
10952	Administrative Rulemaking Proceedings	10131	Revisions to ch. NR 809 related to drinking water standards for PFAS		2025 January - June	5%
10952	Administrative Rulemaking Proceedings	10131	Revisions to ch. NR 809 related to drinking water standards for PFAS		2025 July - December	1%
10952	Administrative Rulemaking Proceedings	8999	Revisions to ch. NR 439 to simplify, reduce, modernize, and make more efficient reporting, recordkeeping, testing, inspection and determination of compliance requirements for sources of air contaminants		2025 January - June	5%
10952	Administrative Rulemaking Proceedings	8999	Revisions to ch. NR 439 to simplify, reduce, modernize, and make more efficient reporting, recordkeeping, testing, inspection and determination of compliance requirements for sources of air contaminants		2025 July - December	2%
10952	Administrative Rulemaking Proceedings	9378	Revisions to fees for reviewing air pollution control construction permit applications and exemption determination requests under ch. NR 410		2025 January - June	5%
10952	Administrative Rulemaking Proceedings	9378	Revisions to fees for reviewing air pollution control construction permit applications and exemption determination requests under ch. NR 410		2025 July - December	1%
10952	Budget Bill Subjects	1292	Natural Resources: Environmental Management		2025 January - June	2%
10952	Budget Bill Subjects	1292	Natural Resources: Environmental Management		2025 July - December	5%
10952	Budget Bill Subjects	1295	Natural Resources: Departmentwide		2025 January - June	8%
10952	Legislative Bills/Resolutions	24518	Senate Bill 7	Relating to: prohibiting a foreign adversary from acquiring agricultural or forestry land in this state.	2025 January - June	10%
10952	Legislative Bills/Resolutions	24518	Senate Bill 7	Relating to: prohibiting a foreign adversary from acquiring agricultural or forestry land in this state.	2025 July - December	10%
10952	Legislative Bills/Resolutions	24572	Senate Bill 28	Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.	2025 January - June	5%
10952	Legislative Bills/Resolutions	24572	Senate Bill 28	Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.	2025 July - December	1%
10952	Legislative Bills/Resolutions	24592	Assembly Bill 25	Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.	2025 January - June	2%
10952	Legislative Bills/Resolutions	24592	Assembly Bill 25	Relating to: an incumbent transmission facility owner’s right to construct, own, and maintain certain transmission facilities and Public Service Commission procedures if the transmission facility is a regionally cost-shared transmission line.	2025 July - December	2%
10952	Legislative Bills/Resolutions	24598	Assembly Bill 30	Relating to: prohibiting a foreign adversary from acquiring agricultural or forestry land in this state.	2025 January - June	2%
10952	Legislative Bills/Resolutions	24598	Assembly Bill 30	Relating to: prohibiting a foreign adversary from acquiring agricultural or forestry land in this state.	2025 July - December	10%
10952	Legislative Bills/Resolutions	24623	Assembly Bill 50	Relating to: state finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)	2025 January - June	10%
10952	Legislative Bills/Resolutions	24624	Senate Bill 45	Relating to: state finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)	2025 January - June	10%
10952	Legislative Bills/Resolutions	24796	Assembly Bill 130	Relating to: exempting certain persons from PFAS enforcement actions under the spills law. (FE)	2025 January - June	5%
10952	Legislative Bills/Resolutions	24796	Assembly Bill 130	Relating to: exempting certain persons from PFAS enforcement actions under the spills law. (FE)	2025 July - December	5%
10952	Legislative Bills/Resolutions	24797	Assembly Bill 131	Relating to: programs and requirements to address PFAS.	2025 July - December	10%
10952	Legislative Bills/Resolutions	24810	Senate Bill 127	Relating to: exempting certain persons from PFAS enforcement actions under the spills law. (FE)	2025 January - June	5%
10952	Legislative Bills/Resolutions	24810	Senate Bill 127	Relating to: exempting certain persons from PFAS enforcement actions under the spills law. (FE)	2025 July - December	10%
10952	Legislative Bills/Resolutions	24811	Senate Bill 128	Relating to: programs and requirements to address PFAS.	2025 January - June	2%
10952	Legislative Bills/Resolutions	24811	Senate Bill 128	Relating to: programs and requirements to address PFAS.	2025 July - December	2%
10952	Legislative Bills/Resolutions	24979	Senate Bill 213	Relating to: a tax credit for rail infrastructure modernization. (FE)	2025 January - June	2%
10952	Legislative Bills/Resolutions	24979	Senate Bill 213	Relating to: a tax credit for rail infrastructure modernization. (FE)	2025 July - December	2%
10952	Legislative Bills/Resolutions	25008	Assembly Bill 218	Relating to: limitations on ownership of real property in this state by foreign persons. (FE)	2025 January - June	5%
10952	Legislative Bills/Resolutions	25008	Assembly Bill 218	Relating to: limitations on ownership of real property in this state by foreign persons. (FE)	2025 July - December	10%
10952	Legislative Bills/Resolutions	25009	Assembly Bill 219	Relating to: a tax credit for rail infrastructure modernization. (FE)	2025 January - June	2%
10952	Legislative Bills/Resolutions	25009	Assembly Bill 219	Relating to: a tax credit for rail infrastructure modernization. (FE)	2025 July - December	1%
10952	Legislative Bills/Resolutions	25012	Assembly Bill 222	Relating to: a sustainable aviation fuel production tax credit. (FE)	2025 July - December	2%
10952	Legislative Bills/Resolutions	25028	Senate Bill 219	Relating to: limitations on ownership of real property in this state by foreign persons. (FE)	2025 January - June	10%
10952	Legislative Bills/Resolutions	25028	Senate Bill 219	Relating to: limitations on ownership of real property in this state by foreign persons. (FE)	2025 July - December	5%
10952	Legislative Bills/Resolutions	25522	Senate Bill 421	Relating to: a grant for modernization of a dam in the village of Rothschild. (FE)	2025 July - December	4%
10952	Legislative Bills/Resolutions	25534	Assembly Bill 416	Relating to: a grant for modernization of a dam in the village of Rothschild. (FE)	2025 July - December	5%
10952	Legislative Bills/Resolutions	25614	Senate Bill 443	Relating to: eligibility of a highway for an agricultural roads improvement program grant. (FE)	2025 July - December	1%
10952	Legislative Bills/Resolutions	25628	Senate Bill 456	Relating to: a tax credit for aviation biofuel manufacturing, authorizing the state to contract public debt for an aviation biofuel project grant, and making an appropriation. (FE)	2025 July - December	2%
10952	Legislative Bills/Resolutions	26021	Senate Bill 628	Relating to: notifying counties and tribes of an exceedance of groundwater protection standards or standards for PFAS. (FE)	2025 July - December	2%
10952	Legislative Bills/Resolutions	26282	Senate Bill 778	Relating to: packaging reduction and recycling, creating a producer responsibility program, granting rule-making authority, making an appropriation, and providing a penalty.	2025 July - December	1%
10952	Legislative Bills/Resolutions	26304	Assembly Bill 766	Relating to: the commercial driver training grant program. (FE)	2025 July - December	1%
10952	Legislative Bills/Resolutions	26310	Assembly Bill 772	Relating to: packaging reduction and recycling, creating a producer responsibility program, granting rule-making authority, making an appropriation, and providing a penalty.	2025 July - December	1%
10952	Legislative Bills/Resolutions	26320	Assembly Bill 782	Relating to: prohibiting food and beverages from being served in foam polystyrene packaging and providing a penalty. (FE)	2025 July - December	1%
10952	Topics Not Yet Assigned A Bill Or Rule Number	62740	Multi Discharge Variance		2025 January - June	1%
10952	Topics Not Yet Assigned A Bill Or Rule Number	62962	LRB 0586		2025 January - June	1%
10952	Topics Not Yet Assigned A Bill Or Rule Number	62962	LRB 0586		2025 July - December	1%
10952	Topics Not Yet Assigned A Bill Or Rule Number	63032	LRB-1662/1		2025 January - June	1%
10952	Topics Not Yet Assigned A Bill Or Rule Number	63032	LRB-1662/1		2025 July - December	1%
10953	Budget Bill Subjects	1311	Safety and Professional Services: Professional Regulation and Administrative Services		2025 January - June	10%
10953	Legislative Bills/Resolutions	24623	Assembly Bill 50	Relating to: state finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24624	Senate Bill 45	Relating to: state finances and appropriations, constituting the executive budget act of the 2025 legislature. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24637	Senate Bill 56	Relating to: the use of federal capitalization grant funds for lead service line replacement. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24656	Assembly Bill 59	Relating to: the use of federal capitalization grant funds for lead service line replacement. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24829	Assembly Bill 142	Relating to: algorithmic software for residential housing, and providing a penalty.	2025 January - June	2%
10953	Legislative Bills/Resolutions	24843	Senate Bill 142	Relating to: algorithmic software for residential housing, and providing a penalty.	2025 January - June	2%
10953	Legislative Bills/Resolutions	24888	Senate Bill 175	Relating to: local building permit fees for certain improvements of residences of disabled veterans. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24894	Senate Bill 180	Relating to: modifications to housing programs under the Wisconsin Housing and Economic Development Authority. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24955	Assembly Bill 194	Relating to: modifications to housing programs under the Wisconsin Housing and Economic Development Authority. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24972	Senate Bill 206	Relating to: voidable provisions in residential rental agreements and the application of the Wisconsin Consumer Act to leases. (FE)	2025 January - June	15%
10953	Legislative Bills/Resolutions	24972	Senate Bill 206	Relating to: voidable provisions in residential rental agreements and the application of the Wisconsin Consumer Act to leases. (FE)	2025 July - December	5%
10953	Legislative Bills/Resolutions	24974	Senate Bill 208	Relating to: prohibiting hedge funds from acquiring single-family homes in this state. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	24991	Assembly Bill 202	Relating to: voidable provisions in residential rental agreements and the application of the Wisconsin Consumer Act to leases. (FE)	2025 January - June	15%
10953	Legislative Bills/Resolutions	24991	Assembly Bill 202	Relating to: voidable provisions in residential rental agreements and the application of the Wisconsin Consumer Act to leases. (FE)	2025 July - December	10%
10953	Legislative Bills/Resolutions	25003	Assembly Bill 213	Relating to: prohibiting hedge funds from acquiring single-family homes in this state. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	25048	Senate Bill 235	Relating to: criminal trespass at a campground and providing a penalty. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	25117	Senate Bill 247	Relating to: local and private regulation of accessory dwelling units. (FE)	2025 July - December	5%
10953	Legislative Bills/Resolutions	25141	Assembly Bill 259	Relating to: criminal trespass at a campground and providing a penalty. (FE)	2025 January - June	2%
10953	Legislative Bills/Resolutions	25293	Senate Bill 327	Relating to: emotional support animals in housing; falsely claiming that an animal is a service animal; and providing a penalty. (FE)	2025 July - December	1%
10953	Legislative Bills/Resolutions	25414	Assembly Bill 366	Relating to: emotional support animals in housing; falsely claiming that an animal is a service animal; and providing a penalty. (FE)	2025 July - December	1%
10953	Legislative Bills/Resolutions	25527	Senate Bill 426	Relating to: registration of trailers used for transporting manufactured housing units. (FE)	2025 July - December	5%
10953	Legislative Bills/Resolutions	25528	Senate Bill 427	Relating to: requirements for the rental of mobile and manufactured homes. (FE)	2025 July - December	10%
10953	Legislative Bills/Resolutions	25542	Assembly Bill 424	Relating to: requirements for the rental of mobile and manufactured homes. (FE)	2025 July - December	10%
10953	Legislative Bills/Resolutions	25543	Assembly Bill 425	Relating to: registration of trailers used for transporting manufactured housing units. (FE)	2025 July - December	10%
10953	Legislative Bills/Resolutions	25575	Assembly Bill 449	Relating to: local regulation of accessory dwelling units. (FE)	2025 July - December	5%
10953	Legislative Bills/Resolutions	25645	Senate Bill 473	Relating to: local regulation of accessory dwelling units. (FE)	2025 July - December	5%
10953	Legislative Bills/Resolutions	25803	Assembly Bill 549	Relating to: manufactured home sales and certificates of title and modifying administrative rules of the Department of Safety and Professional Services related to manufactured home purchase contracts. (FE)	2025 July - December	10%
10953	Legislative Bills/Resolutions	25832	Senate Bill 545	Relating to: manufactured home sales and certificates of title and modifying administrative rules of the Department of Safety and Professional Services related to manufactured home purchase contracts. (FE)	2025 July - December	8%
10953	Legislative Bills/Resolutions	26388	Senate Bill 813	Relating to: recording and taxation of real property containing a building, improvement, or fixture and consisting of no land. (FE)	2025 July - December	5%
10953	Legislative Bills/Resolutions	26408	Assembly Bill 831	Relating to: recording and taxation of real property containing a building, improvement, or fixture and consisting of no land. (FE)	2025 July - December	10%
10953	Topics Not Yet Assigned A Bill Or Rule Number	56890	Related to offering an electronic process for requesting manufactured home titles		2025 January - June	4%
10953	Topics Not Yet Assigned A Bill Or Rule Number	56893	DSPS Manufactured Home Purchase Contract		2025 January - June	10%
10953	Topics Not Yet Assigned A Bill Or Rule Number	60666	Requirements for the rental of mobile and manufactured homes and lot leases		2025 January - June	10%
10953	Topics Not Yet Assigned A Bill Or Rule Number	62846	Relating to plates for the transportation of manufactured home		2025 January - June	10%
10954	Budget Bill Subjects	1252	Environmental Improvement Program: Clean Water Fund Program Operations		2025 January - June	75%
10954	Legislative Bills/Resolutions	24810	Senate Bill 127	Relating to: exempting certain persons from PFAS enforcement actions under the spills law. (FE)	2025 January - June	2%
10954	Legislative Bills/Resolutions	24811	Senate Bill 128	Relating to: programs and requirements to address PFAS.	2025 January - June	2%
10954	Legislative Bills/Resolutions	24982	Senate Bill 216	Relating to: local government competitive bidding thresholds. (FE)	2025 January - June	2%
10954	Legislative Bills/Resolutions	24982	Senate Bill 216	Relating to: local government competitive bidding thresholds. (FE)	2025 July - December	20%
10954	Legislative Bills/Resolutions	25007	Assembly Bill 217	Relating to: local government competitive bidding thresholds. (FE)	2025 January - June	2%
10954	Legislative Bills/Resolutions	25007	Assembly Bill 217	Relating to: local government competitive bidding thresholds. (FE)	2025 July - December	20%
10954	Legislative Bills/Resolutions	26270	Senate Bill 766	Relating to: operation of drones over certain utility facilities and providing a penalty.	2025 July - December	5%
10954	Legislative Bills/Resolutions	26306	Assembly Bill 768	Relating to: operation of drones over certain utility facilities and providing a penalty.	2025 July - December	5%
10954	Topics Not Yet Assigned A Bill Or Rule Number	62738	The use of drones near critical infrastructure		2025 January - June	2%
10954	Topics Not Yet Assigned A Bill Or Rule Number	62738	The use of drones near critical infrastructure		2025 July - December	30%
10957	Legislative Bills/Resolutions	25280	Assembly Bill 315	Relating to: the Warren Knowles-Gaylord Nelson stewardship 2000 program and a major land acquisitions program. (FE)	2025 January - June	20%
10957	Legislative Bills/Resolutions	25280	Assembly Bill 315	Relating to: the Warren Knowles-Gaylord Nelson stewardship 2000 program and a major land acquisitions program. (FE)	2025 July - December	50%
10957	Legislative Bills/Resolutions	25281	Senate Bill 316	Relating to: the Warren Knowles-Gaylord Nelson stewardship 2000 program and a major land acquisitions program. (FE)	2025 January - June	10%
10957	Legislative Bills/Resolutions	25281	Senate Bill 316	Relating to: the Warren Knowles-Gaylord Nelson stewardship 2000 program and a major land acquisitions program. (FE)	2025 July - December	10%
10957	Legislative Bills/Resolutions	25955	Assembly Bill 612	Relating to: the Warren Knowles-Gaylord Nelson stewardship 2000 program, a major land acquisitions program, and making an appropriation. (FE)	2025 July - December	10%
10957	Topics Not Yet Assigned A Bill Or Rule Number	57326	Knowles Nelson Stewardship program		2025 January - June	30%
10958	Legislative Bills/Resolutions	24905	Assembly Bill 172	Relating to: consumer data protection and providing a penalty. (FE)	2025 January - June	3%
10958	Legislative Bills/Resolutions	26129	Assembly Bill 699	Relating to: a long-term care insurance assessment and a long-term care insurance assessment tax credit. (FE)	2025 July - December	14%
10958	Legislative Bills/Resolutions	26130	Assembly Bill 700	Relating to: an appropriation for refundable long-term care insurance assessment credits and making an appropriation. (FE)	2025 July - December	3%
10958	Legislative Bills/Resolutions	26134	Senate Bill 683	Relating to: an appropriation for refundable long-term care insurance assessment credits and making an appropriation. (FE)	2025 July - December	3%
10958	Legislative Bills/Resolutions	26135	Senate Bill 684	Relating to: a long-term care insurance assessment and a long-term care insurance assessment tax credit. (FE)	2025 July - December	10%
10958	Topics Not Yet Assigned A Bill Or Rule Number	56918	Legislation related to the Wisconsin Insurance Security Fund		2025 January - June	96%
10958	Topics Not Yet Assigned A Bill Or Rule Number	56918	Legislation related to the Wisconsin Insurance Security Fund		2025 July - December	70%
10958	Topics Not Yet Assigned A Bill Or Rule Number	56919	Legislation related to criteria used by insurers in providing insurance policies		2025 January - June	1%
10959	Budget Bill Subjects	1231	Agriculture, Trade, and Consumer Protection: Agriculture Development Services		2025 January - June	5%
10959	Budget Bill Subjects	1232	Agriculture, Trade, and Consumer Protection: Agricultural Resource Management		2025 January - June	5%
10959	Budget Bill Subjects	1338	Workforce Development: Workforce Development		2025 January - June	5%
10959	Legislative Bills/Resolutions	24892	Senate Bill 179	Relating to: applying the motor vehicle fuel tax supplier’s administrative allowance to diesel fuel, a motor vehicle fuel tax refund for evaporation losses, and making an appropriation. (FE)	2025 January - June	1%
10959	Legislative Bills/Resolutions	24961	Assembly Bill 200	Relating to: applying the motor vehicle fuel tax supplier’s administrative allowance to diesel fuel, a motor vehicle fuel tax refund for evaporation losses, and making an appropriation. (FE)	2025 January - June	1%
10959	Legislative Bills/Resolutions	24961	Assembly Bill 200	Relating to: applying the motor vehicle fuel tax supplier’s administrative allowance to diesel fuel, a motor vehicle fuel tax refund for evaporation losses, and making an appropriation. (FE)	2025 July - December	3%
10959	Legislative Bills/Resolutions	25012	Assembly Bill 222	Relating to: a sustainable aviation fuel production tax credit. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	25219	Senate Bill 284	Relating to: a sustainable aviation fuel production tax credit. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	25267	Assembly Bill 310	Relating to: creating a nutrient loss reduction grant program. (FE)	2025 January - June	25%
10959	Legislative Bills/Resolutions	25267	Assembly Bill 310	Relating to: creating a nutrient loss reduction grant program. (FE)	2025 July - December	25%
10959	Legislative Bills/Resolutions	25292	Senate Bill 326	Relating to: creating a nutrient loss reduction grant program. (FE)	2025 January - June	25%
10959	Legislative Bills/Resolutions	25292	Senate Bill 326	Relating to: creating a nutrient loss reduction grant program. (FE)	2025 July - December	25%
10959	Legislative Bills/Resolutions	25565	Assembly Bill 439	Relating to: eligibility of a highway for an agricultural roads improvement program grant. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	25614	Senate Bill 443	Relating to: eligibility of a highway for an agricultural roads improvement program grant. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	26106	Assembly Bill 679	Relating to: weight limits for vehicles transporting grain, feed, or commercial fertilizer. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	26160	Senate Bill 709	Relating to: prohibiting noncommercial uses of neonicotinoid pesticides. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	26173	Senate Bill 722	Relating to: weight limits for vehicles transporting grain, feed, or commercial fertilizer. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	26213	Assembly Bill 732	Relating to: prohibiting noncommercial uses of neonicotinoid pesticides. (FE)	2025 July - December	1%
10959	Legislative Bills/Resolutions	26287	Senate Bill 783	Relating to: the commercial driver training grant program. (FE)	2025 July - December	10%
10959	Legislative Bills/Resolutions	26304	Assembly Bill 766	Relating to: the commercial driver training grant program. (FE)	2025 July - December	15%
10959	Topics Not Yet Assigned A Bill Or Rule Number	61848	Agricultural retail		2025 January - June	5%
10959	Topics Not Yet Assigned A Bill Or Rule Number	61849	2025-2027 Biennial Budget		2025 January - June	3%
10959	Topics Not Yet Assigned A Bill Or Rule Number	61850	Nutrient Stewardship		2025 January - June	2%
10959	Topics Not Yet Assigned A Bill Or Rule Number	61850	Nutrient Stewardship		2025 July - December	2%
10959	Topics Not Yet Assigned A Bill Or Rule Number	62298	CDL driver training		2025 January - June	20%
10959	Topics Not Yet Assigned A Bill Or Rule Number	62881	CDL Hazardous Material Endorsement		2025 January - June	3%
