lobbyist_id	principal_id	authorized_on	withdrawn_on	discovered_via	lobbyist_in_grid
11057	12886	2025-01-30		both	true
11058	10994	2024-12-05		both	true
11060	10948	2025-01-10		both	true
11061	10949	2024-12-09	2025-01-23	both	true
11062	10953	2025-01-02		both	true
11062	11562	2025-01-02		both	true
11063	10952	2024-12-05		both	true
11064	10956	2024-12-05	2025-06-23	both	true
11064	11541	2025-01-02		both	true
11064	12958	2025-03-10		both	true
11064	13026	2025-06-11		both	true
11065	12779	2025-05-21		both	true
11066	10957	2025-01-06		both	true
11067	10958	2024-12-05		both	true
11068	10959	2024-12-05		both	true
11070	10960	2024-12-05		both	true
11071	10961	2024-12-05		both	true
11072	10960	2024-12-05		both	true
11072	10963	2024-12-05		both	true
11072	10965	2024-12-05		both	true
11072	10966	2024-12-05		both	true
11072	10967	2024-12-05		both	true
11072	11211	2024-12-23		both	true
11073	10963	2024-12-05		both	true
11074	10965	2024-12-05	2025-07-24	both	true
11077	11091	2024-12-18	2025-12-22	both	true
11078	10969	2024-12-05	2026-01-01	both	true
11079	11092	2024-12-20		both	true
11081	10986	2024-12-05		both	true
11081	11013	2025-01-07		both	true
11081	11067	2025-01-07		both	true
11081	11112	2024-12-23		both	true
11081	11138	2024-12-17		both	true
11081	11156	2024-12-16		both	true
11081	11353	2024-12-26		both	true
11081	11376	2025-01-02		both	true
11081	11378	2025-01-02		both	true
11081	11452	2024-12-30		both	true
11081	11487	2025-01-02		both	true
11081	11522	2025-01-02		both	true
11081	11523	2025-01-02		both	true
11081	11524	2025-01-06		both	true
11081	11525	2025-01-02		both	true
11081	11526	2025-01-02		both	true
11081	11527	2025-01-02		both	true
11081	11528	2025-01-02		both	true
11081	11529	2025-01-07		both	true
11081	11531	2025-01-02		both	true
11081	11532	2025-01-02		both	true
11081	11533	2025-01-02		both	true
11081	11589	2025-01-08		both	true
11081	11594	2025-01-06		both	true
11081	11633	2025-01-22		both	true
11081	11639	2025-01-07		both	true
11081	11655	2025-01-07		both	true
11081	12782	2025-01-13		both	true
11082	10936	2025-01-02		both	true
11082	10941	2024-12-10		both	true
11082	10954	2024-12-10		both	true
11082	10968	2024-12-10		both	true
11082	10978	2025-05-06		both	true
11082	11011	2025-01-15		both	true
11082	11067	2025-01-07		both	true
11082	11112	2024-12-23		both	true
11082	11138	2024-12-17		both	true
11082	11226	2024-12-30		both	true
11082	11379	2025-01-02		both	true
11082	11406	2024-12-30	2025-06-23	both	true
11082	11487	2025-01-02		both	true
11082	11522	2025-01-02		both	true
11082	11523	2025-01-02		both	true
11082	11524	2025-01-06		both	true
11082	11526	2025-01-02		both	true
11082	11527	2025-01-02		both	true
11082	11529	2025-01-02		both	true
11082	11530	2025-01-02		both	true
11082	11532	2025-01-02		both	true
11082	11533	2025-01-02		both	true
11082	11589	2025-01-03		both	true
11082	11603	2025-01-06		both	true
11082	11604	2025-01-06		both	true
11082	11605	2025-01-06		both	true
11082	11633	2025-01-22		both	true
11082	11639	2025-01-07		both	true
11082	12822	2025-01-21		both	true
11082	12855	2025-02-20		both	true
11082	13039	2026-03-03		both	true
11082	13048	2025-08-11		both	true
11082	13106	2025-10-31		both	true
11082	13123	2026-01-13		both	true
11083	10984	2024-12-05	2025-11-20	both	true
11083	11215	2024-12-18	2025-11-21	both	true
11083	11216	2024-12-18	2025-11-24	both	true
11083	11217	2024-12-18	2025-11-24	both	true
11083	11218	2024-12-20		both	true
11083	11224	2024-12-18		both	true
11083	11251	2024-12-18	2025-11-24	both	true
11083	11252	2024-12-18	2025-11-21	both	true
11083	11254	2024-12-18	2025-11-21	both	true
11083	11329	2025-04-16	2025-11-21	both	true
11083	11362	2024-12-26	2025-11-21	both	true
11083	11372	2025-01-07	2025-11-24	both	true
11083	11600	2025-01-21	2025-11-24	both	true
11083	11679	2025-01-07	2025-11-21	both	true
11083	11695	2025-01-08	2025-11-21	both	true
11083	11729	2025-01-22	2025-11-21	both	true
11083	11737	2025-01-10	2025-11-24	both	true
11083	11766	2025-01-10	2025-12-01	both	true
11083	12805	2025-01-16	2025-11-21	both	true
11083	12821	2025-01-21	2025-12-01	both	true
11083	12954	2025-03-04		both	true
11083	12999	2025-05-05	2025-11-21	both	true
11084	10963	2024-12-09		both	true
11085	10970	2024-12-05	2025-06-02	both	true
11086	10969	2024-12-05	2026-01-01	both	true
11087	11010	2025-01-13		both	true
11088	11138	2024-12-17	2025-07-23	both	true
11089	10970	2024-12-05		both	true
11090	11018	2024-12-17		both	true
11091	11028	2024-12-12		both	true
11091	11107	2024-12-20		both	true
11091	11113	2024-12-20		both	true
11091	11114	2024-12-20		both	true
11091	11116	2024-12-30		both	true
11091	11117	2024-12-30		both	true
11091	11119	2024-12-20		both	true
11091	11120	2024-12-20		both	true
11091	11121	2024-12-30		both	true
11091	11122	2024-12-30		both	true
11091	11123	2024-12-20		both	true
11091	11124	2024-12-30		both	true
11091	11125	2024-12-30		both	true
11091	11126	2025-05-06		both	true
11091	11127	2024-12-20		both	true
11091	11128	2024-12-20		both	true
11091	11129	2024-12-20		both	true
11091	11130	2025-01-10		both	true
11091	11131	2024-12-20	2026-02-10	both	true
11091	11132	2024-12-20		both	true
11091	11133	2025-01-08		both	true
11091	11134	2025-01-08		both	true
11091	11135	2025-01-14		both	true
11091	11361	2025-01-08		both	true
11091	11427	2025-01-21		both	true
11091	11558	2025-01-08		both	true
11091	11561	2025-01-08		both	true
11091	11572	2025-01-08		both	true
11091	12820	2025-09-22		both	true
11091	12848	2025-01-28		both	true
11091	12994	2025-04-30		both	true
11091	13012	2025-05-22		both	true
11091	13037	2025-07-01		both	true
11091	13070	2025-09-23		both	true
11091	13119	2025-11-12		both	true
11091	13204	2026-02-04	2026-02-05	both	true
11092	10975	2024-12-11		both	true
11093	11028	2024-12-12		both	true
11093	11107	2024-12-20		both	true
11093	11113	2024-12-20		both	true
11093	11114	2024-12-20		both	true
11093	11116	2024-12-30		both	true
11093	11117	2024-12-30		both	true
11093	11119	2024-12-20		both	true
11093	11120	2024-12-20		both	true
11093	11121	2024-12-30		both	true
11093	11122	2024-12-30		both	true
11093	11123	2024-12-20		both	true
11093	11124	2024-12-30		both	true
11093	11125	2024-12-30		both	true
11093	11126	2025-05-06		both	true
11093	11127	2024-12-20		both	true
11093	11128	2024-12-20		both	true
11093	11129	2024-12-20		both	true
11093	11130	2025-01-10		both	true
11093	11131	2024-12-20	2026-02-10	both	true
11093	11132	2024-12-20		both	true
11093	11133	2025-01-08		both	true
11093	11134	2025-01-08		both	true
11093	11135	2025-01-14		both	true
11093	11361	2025-01-08		both	true
11093	11427	2025-01-21		both	true
11093	11558	2025-01-08		both	true
11093	11561	2025-01-08		both	true
11093	11572	2025-01-08		both	true
11093	12820	2025-09-22		both	true
11093	12848	2025-01-28		both	true
11093	12994	2025-04-30		both	true
11093	13012	2025-05-22		both	true
11093	13037	2025-07-01		both	true
11093	13070	2025-09-23		both	true
11093	13119	2025-11-12		both	true
11093	13160	2026-01-16		both	true
11093	13204	2026-02-04	2026-02-05	both	true
11094	10976	2024-12-10		both	true
11094	10977	2024-12-10		both	true
11094	11059	2024-12-10		both	true
11094	11060	2024-12-10		both	true
11094	11063	2024-12-10		both	true
11094	11208	2024-12-17		both	true
11094	11424	2025-01-10		both	true
11094	11425	2025-01-10		both	true
11094	11625	2025-01-06		both	true
11094	12953	2025-03-04		both	true
11094	13139	2026-01-07		both	true
11095	11059	2024-12-10		both	true
11096	11060	2024-12-10		both	true
11096	11208	2024-12-17		both	true
11096	11270	2025-01-03	2025-06-26	both	true
11096	11424	2025-01-10		both	true
11096	11425	2025-01-10		both	true
11096	11625	2025-01-06		both	true
11096	11626	2025-01-06		both	true
11096	11627	2025-01-06		both	true
11096	12953	2025-03-04		both	true
11096	13139	2026-01-07		both	true
11097	10979	2024-12-20		both	true
11098	10940	2026-03-10		both	true
11098	10941	2024-12-10		both	true
11098	10973	2024-12-06	2025-09-09	both	true
11098	11318	2024-12-23		both	true
11098	11330	2025-01-23		both	true
11098	11357	2024-12-26		both	true
11098	11371	2025-02-25		both	true
11098	11422	2024-12-30		both	true
11098	11423	2024-12-30		both	true
11098	11426	2024-12-30		both	true
11098	11427	2025-01-21		both	true
11098	11541	2025-01-06		both	true
11098	11564	2025-01-15		both	true
11098	11607	2025-01-21		both	true
11098	11738	2025-01-29		both	true
11098	12784	2025-01-13		both	true
11098	12815	2025-01-21		both	true
11098	12845	2025-01-28		both	true
11098	12931	2025-02-26	2026-03-20	both	true
11098	13009	2025-05-21	2025-07-31	both	true
11098	13149	2026-01-06		both	true
11098	13159	2026-03-10		both	true
11099	10978	2024-12-23		both	true
11099	11416	2026-01-07		both	true
11099	11636	2025-01-08	2026-02-02	both	true
11099	13149	2026-01-06		both	true
11100	10980	2024-12-05	2025-06-04	both	true
11101	10984	2024-12-05		both	true
11101	11218	2024-12-20	2026-01-09	both	true
11101	11251	2024-12-18	2026-01-22	both	true
11101	11329	2025-04-16		both	true
11101	11737	2025-01-10		both	true
11102	10984	2024-12-05		both	true
11102	11215	2024-12-18		both	true
11102	11217	2024-12-18	2025-11-24	both	true
11102	11252	2024-12-18		both	true
11102	11254	2024-12-18		both	true
11102	11729	2025-01-22		both	true
11102	11766	2025-01-10		both	true
11102	12821	2025-01-21		both	true
11103	11654	2025-01-13		both	true
11104	10986	2024-12-05	2025-10-01	both	true
11105	10987	2025-03-20		both	true
11107	10936	2025-01-02		both	true
11107	10954	2024-12-10		both	true
11107	10968	2024-12-10		both	true
11107	10986	2025-01-02		both	true
11107	11013	2025-01-21		both	true
11107	11067	2025-01-07		both	true
11107	11112	2024-12-23		both	true
11107	11138	2024-12-17		both	true
11107	11156	2024-12-16		both	true
11107	11334	2024-12-26		both	true
11107	11379	2025-01-02		both	true
11107	11487	2025-01-02		both	true
11107	11522	2025-01-02		both	true
11107	11524	2025-01-06		both	true
11107	11525	2025-01-02		both	true
11107	11526	2025-01-02		both	true
11107	11527	2025-01-02		both	true
11107	11528	2025-01-02		both	true
11107	11529	2025-01-07		both	true
11107	11532	2025-01-02		both	true
11107	11533	2025-01-02		both	true
11107	11589	2025-01-03		both	true
11107	11594	2025-01-06		both	true
11107	11603	2025-01-06		both	true
11107	11604	2025-01-06		both	true
11107	11605	2025-01-06		both	true
11107	11633	2025-01-22		both	true
11107	11639	2025-01-07		both	true
11107	11683	2025-01-07		both	true
11107	11685	2025-01-07		both	true
11107	11716	2025-01-10		both	true
11107	12855	2025-02-20		both	true
11107	13039	2025-07-08		both	true
11107	13106	2025-10-31		both	true
11107	13123	2026-01-13		both	true
11108	11066	2024-12-11		both	true
11109	10989	2024-12-05		both	true
11110	10998	2024-12-11		both	true
11110	11094	2024-12-12		both	true
11110	11439	2024-12-30		both	true
11110	11440	2024-12-30		both	true
11110	11441	2024-12-30		both	true
11110	11492	2024-12-30		both	true
11110	11502	2025-01-02		both	true
11110	11504	2025-01-02	2026-05-22	both	true
11110	11536	2025-01-02		both	true
11110	11537	2025-01-02		both	true
11110	11538	2025-01-02		both	true
11110	13000	2025-05-06		both	true
11112	10956	2025-06-11		both	true
11112	10978	2024-12-23	2025-02-17	both	true
11112	10984	2025-12-04		both	true
11112	11091	2024-12-18		both	true
11112	11320	2024-12-23	2025-02-10	both	true
11112	11324	2024-12-23	2025-02-10	both	true
11112	11330	2025-01-23	2025-03-31	both	true
11112	11405	2024-12-27	2025-02-10	both	true
11112	11407	2024-12-27	2025-02-07	both	true
11112	11413	2024-12-27	2025-02-10	both	true
11112	11415			both	true
11112	11427	2025-01-21	2025-03-03	both	true
11112	11607	2025-01-21	2025-04-04	both	true
11112	11636	2025-01-08	2025-02-10	both	true
11112	11695	2025-12-11		both	true
11112	11729	2025-12-11		both	true
11112	11756	2025-01-10	2025-04-07	both	true
11112	11766	2025-12-11		both	true
11112	12815	2025-01-21	2025-04-04	both	true
11112	12821	2025-12-03		both	true
11112	12999	2025-05-05		both	true
11112	13028	2025-06-13		both	true
11112	13059	2025-09-09		both	true
11112	13111	2026-05-01		both	true
11112	13132	2025-12-18		both	true
11113	10973	2024-12-06	2025-09-09	both	true
11113	11299	2025-01-02		both	true
11113	11321	2024-12-23		both	true
11113	11348	2024-12-30	2026-02-02	both	true
11113	11355	2024-12-26		both	true
11113	11413	2024-12-27	2025-06-25	both	true
11113	11415	2024-12-27	2026-03-16	both	true
11113	11422	2024-12-30		both	true
11113	11423	2024-12-30		both	true
11113	11607	2025-01-21		both	true
11113	11738	2025-01-29		both	true
11113	12815	2025-01-21		both	true
11113	13158	2026-01-20		both	true
11113	13196	2026-02-02		both	true
11114	11064	2024-12-10	2025-07-22	both	true
11114	11091	2024-12-18		both	true
11114	11271	2024-12-19	2025-01-01	both	true
11114	11321	2024-12-23		both	true
11114	11355	2025-07-21		both	true
11114	11357	2024-12-26		both	true
11114	11407	2025-02-07		both	true
11114	11416	2024-12-27		both	true
11114	11541	2025-01-02		both	true
11114	11550	2025-01-02		both	true
11114	11722	2025-01-08		both	true
11114	13009	2025-05-20	2025-07-31	both	true
11115	10996	2024-12-05		both	true
11116	11207	2024-12-17		both	true
11117	10997	2024-12-05		both	true
11119	10941	2024-12-10		both	true
11119	10978	2024-12-23	2026-01-30	both	true
11119	11052	2024-12-10		both	true
11119	11102	2025-01-03		both	true
11119	11110	2024-12-13		both	true
11119	11299	2025-01-02		both	true
11119	11318	2024-12-23		both	true
11119	11330	2025-01-23		both	true
11119	11348	2024-12-30	2026-02-02	both	true
11119	11371	2025-02-25		both	true
11119	11422	2024-12-30		both	true
11119	11426	2024-12-30		both	true
11119	11427	2025-01-21		both	true
11119	11493	2025-02-25		both	true
11119	11636	2025-01-08	2026-02-02	both	true
11119	11720	2025-01-08		both	true
11119	11730	2025-01-10		both	true
11119	11756	2025-01-10		both	true
11119	11762	2025-01-10		both	true
11119	11763	2025-01-10		both	true
11119	11765	2025-01-10		both	true
11119	12784	2025-01-13		both	true
11119	12805	2026-01-06		both	true
11119	12808	2025-01-23		both	true
11119	12837	2025-05-21		both	true
11119	12920	2025-02-07	2026-02-02	both	true
11119	12931	2025-02-19	2026-03-20	both	true
11119	12941	2025-02-26	2026-02-02	both	true
11119	13020	2025-06-05		both	true
11119	13118	2025-11-10		both	true
11119	13131	2025-12-15		both	true
11119	13138	2025-12-22		both	true
11120	10998	2025-01-07		both	true
11121	11000	2024-12-05		both	true
11124	10984	2025-02-11		both	true
11124	11215	2024-12-18		both	true
11124	11216	2024-12-18		both	true
11124	11217	2024-12-18	2025-11-24	both	true
11124	11252	2024-12-18		both	true
11124	11254	2024-12-18		both	true
11124	11362	2024-12-26		both	true
11124	11372	2025-01-07	2025-12-09	both	true
11124	11600	2025-01-07		both	true
11124	11679	2025-01-07	2025-12-09	both	true
11124	11695	2025-01-08		both	true
11124	11729	2025-01-22		both	true
11124	11766	2025-01-10		both	true
11124	12805	2025-01-16	2025-12-09	both	true
11124	12821	2025-01-21		both	true
11124	13132	2025-12-18		both	true
11128	10954	2024-12-10		both	true
11129	11002	2024-12-05		both	true
11130	10985	2024-12-06		both	true
11131	10985	2024-12-06		both	true
11132	10985	2024-12-06		both	true
11133	10985	2024-12-06		both	true
11135	11008	2025-07-22		both	true
11136	11007	2025-01-02		both	true
11137	11052	2024-12-10		both	true
11137	11110	2024-12-13		both	true
11137	11318	2024-12-23		both	true
11137	11348	2024-12-30	2026-02-02	both	true
11137	11357	2024-12-26		both	true
11137	11407	2025-02-07		both	true
11137	11413	2025-04-04	2025-06-25	both	true
11137	11763	2025-01-10		both	true
11137	11765	2025-01-10		both	true
11137	12808	2025-01-23		both	true
11137	13009	2025-05-21	2025-07-31	both	true
11137	13158	2026-03-10		both	true
11138	10936	2025-01-02		both	true
11138	11042	2024-12-13		both	true
11138	11044	2025-02-04		both	true
11138	11046	2024-12-13		both	true
11138	11061	2024-12-13		both	true
11138	11062	2024-12-13		both	true
11138	11290	2024-12-20		both	true
11138	11705	2025-01-08		both	true
11139	11017	2024-12-09	2025-09-02	both	true
11140	11064	2024-12-10		both	true
11140	11271	2024-12-19	2026-01-27	both	true
11140	11320	2024-12-23	2025-01-31	both	true
11140	11355	2024-12-26	2025-01-31	both	true
11140	11370	2024-12-26		both	true
11140	11407	2024-12-27	2025-01-31	both	true
11140	11411	2024-12-27		both	true
11140	11498	2025-01-02	2025-01-31	both	true
11140	13007	2025-11-28		both	true
11141	10961	2024-12-11		both	true
11141	10990	2025-01-02		both	true
11141	11083	2024-12-20		both	true
11141	11292	2025-01-02		both	true
11141	11293	2025-01-02		both	true
11141	11316	2024-12-23		both	true
11141	11373	2024-12-26		both	true
11141	11374	2024-12-26	2026-01-02	both	true
11141	11380	2025-01-02		both	true
11141	11381	2025-01-02		both	true
11141	11382	2025-01-02		both	true
11141	11383	2025-01-02		both	true
11141	11384	2025-01-02		both	true
11141	11385	2025-01-02		both	true
11141	11386	2025-01-02		both	true
11141	11387	2025-01-02		both	true
11141	11388	2025-01-02		both	true
11141	11389	2025-01-02		both	true
11141	11541	2025-01-02		both	true
11141	11576	2025-01-02		both	true
11141	11708	2025-01-08		both	true
11141	11717	2025-01-10		both	true
11141	11753	2025-01-10		both	true
11141	12802	2025-01-15		both	true
11141	12822	2025-01-21		both	true
11141	12857	2025-01-28		both	true
11141	12877	2025-01-30		both	true
11141	12932	2025-02-20	2026-05-01	both	true
11141	12944	2025-02-26		both	true
11141	13001	2026-02-10		both	true
11141	13023	2025-06-03		both	true
11141	13039	2026-03-03		both	true
11141	13207	2026-02-06		both	true
11142	11390	2024-12-30	2025-09-08	both	true
11142	11391	2025-01-08		both	true
11142	11392	2025-01-10		both	true
11142	11395	2025-01-06		both	true
11142	11397	2025-01-06		both	true
11142	11399	2025-01-06		both	true
11142	11400	2024-12-30		both	true
11142	11401	2025-01-06		both	true
11142	11402	2025-01-06		both	true
11142	11403	2024-12-30		both	true
11142	12867	2025-03-10		both	true
11143	11021	2024-12-09		both	true
11144	11020	2024-12-09		both	true
11145	11023	2024-12-19		both	true
11145	11336	2024-12-26		both	true
11146	10998	2024-12-11		both	true
11146	11000	2025-01-06		both	true
11146	11459	2024-12-30		both	true
11146	11460	2024-12-30		both	true
11146	11464	2024-12-30		both	true
11146	11465	2024-12-30		both	true
11146	11468	2024-12-30		both	true
11146	11471	2024-12-30		both	true
11146	11495	2025-01-13		both	true
11146	11767	2025-01-31	2026-01-16	both	true
11147	10936	2025-01-02		both	true
11147	10941	2024-12-10		both	true
11147	10954	2024-12-10		both	true
11147	10968	2024-12-10		both	true
11147	10986	2025-01-02		both	true
11147	11011	2025-01-15		both	true
11147	11067	2025-01-07		both	true
11147	11112	2024-12-23		both	true
11147	11138	2024-12-17		both	true
11147	11334	2024-12-26		both	true
11147	11379	2025-01-02		both	true
11147	11487	2025-01-02		both	true
11147	11522	2025-01-02		both	true
11147	11523	2025-01-02		both	true
11147	11524	2025-01-06		both	true
11147	11526	2025-01-02		both	true
11147	11527	2025-01-02		both	true
11147	11529	2025-01-02		both	true
11147	11530	2025-01-02		both	true
11147	11532	2025-01-02		both	true
11147	11533	2025-01-02		both	true
11147	11589	2025-01-03		both	true
11147	11603	2025-01-06		both	true
11147	11604	2025-01-06		both	true
11147	11605	2025-01-06		both	true
11147	11633	2025-01-22		both	true
11147	11639	2025-01-07		both	true
11147	12822	2025-01-21		both	true
11147	12855	2025-02-20		both	true
11147	13039	2026-03-03		both	true
11147	13106	2025-10-31		both	true
11147	13123	2026-01-13		both	true
11150	11312	2024-12-23		both	true
11150	11451	2025-03-12		both	true
11150	11478	2025-03-12		both	true
11150	11586	2025-01-07		both	true
11150	11602	2025-01-06		both	true
11150	11609	2025-03-12		both	true
11150	12871	2025-02-21		both	true
11151	11026	2024-12-09		both	true
11151	11028	2024-12-09		both	true
11152	11111	2025-01-16		both	true
11152	11162	2025-01-30		both	true
11152	11192	2025-01-06		both	true
11152	11489	2025-01-15		both	true
11152	11508	2025-01-03		both	true
11152	11534	2025-01-02		both	true
11152	11599	2025-01-30		both	true
11152	11622	2025-01-14		both	true
11152	11623	2025-01-14		both	true
11152	11633	2025-01-22		both	true
11152	11677	2025-01-07		both	true
11152	11700	2025-01-08		both	true
11152	11702	2025-01-08		both	true
11152	11710	2025-01-14		both	true
11152	11711	2025-01-08		both	true
11152	11712	2025-01-08		both	true
11152	11713	2025-01-08		both	true
11152	11715	2025-01-08		both	true
11152	11718	2025-01-08		both	true
11152	11726	2025-01-09		both	true
11152	11727	2025-01-10		both	true
11152	11728	2025-01-09		both	true
11152	11735	2025-01-10		both	true
11152	11736	2025-01-10		both	true
11152	11740	2025-01-10		both	true
11152	12856	2025-01-28		both	true
11152	12892	2025-01-31		both	true
11152	12975	2025-03-20		both	true
11152	13025	2025-06-05		both	true
11152	13067	2025-09-04		both	true
11152	13084	2025-10-09		both	true
11152	13085	2025-10-23		both	true
11152	13147	2026-01-06		both	true
11153	10936	2025-01-02		both	true
11153	11042	2024-12-13		both	true
11153	11044	2025-02-04		both	true
11153	11046	2024-12-13		both	true
11153	11061	2024-12-13		both	true
11153	11062	2024-12-13		both	true
11153	11290	2024-12-20		both	true
11153	11705	2025-01-08		both	true
11154	11197	2024-12-17		both	true
11155	11031	2024-12-16		both	true
11156	11030	2024-12-10		both	true
11157	10954	2024-12-10		both	true
11158	11312	2024-12-23		both	true
11158	11586	2025-01-07		both	true
11158	11609	2025-03-12		both	true
11158	12871	2025-02-21		both	true
11159	11197	2024-12-17		both	true
11160	11031	2024-12-16		both	true
11161	11036	2024-12-16		both	true
11162	11037	2024-12-10		both	true
11163	10990	2025-01-02		both	true
11163	10998	2024-12-11		both	true
11163	11292	2025-01-02		both	true
11163	11293	2025-01-02		both	true
11163	11316	2024-12-23		both	true
11163	11317	2024-12-23		both	true
11163	11373	2024-12-26		both	true
11163	11374	2024-12-26	2026-01-02	both	true
11163	11380	2025-01-02		both	true
11163	11381	2025-01-02		both	true
11163	11382	2025-01-02		both	true
11163	11383	2025-01-02		both	true
11163	11384	2025-01-02		both	true
11163	11385	2025-01-02		both	true
11163	11386	2025-01-02		both	true
11163	11387	2025-01-02		both	true
11163	11388	2025-01-02		both	true
11163	11389	2025-01-02		both	true
11163	11541	2025-01-02		both	true
11163	11576	2025-01-02		both	true
11163	11708	2025-01-08		both	true
11163	11717	2025-01-10		both	true
11163	11720	2025-01-08		both	true
11163	11753	2025-01-10		both	true
11163	12802	2025-01-15		both	true
11163	12822	2026-01-23		both	true
11163	12857	2026-02-13		both	true
11163	12877	2025-01-30		both	true
11163	12932	2025-02-20	2026-05-01	both	true
11163	12944	2025-02-26		both	true
11163	13001	2026-02-10		both	true
11163	13023	2025-06-03		both	true
11163	13039	2026-03-03		both	true
11163	13207	2026-02-06		both	true
11164	11038	2024-12-10		both	true
11164	11039	2024-12-10		both	true
11164	11040	2024-12-10		both	true
11164	11041	2024-12-10		both	true
11164	11047	2024-12-10		both	true
11164	11048	2024-12-10	2025-06-30	both	true
11164	11049	2024-12-10		both	true
11164	11050	2024-12-10		both	true
11164	12989	2025-05-12		both	true
11165	11038	2024-12-10		both	true
11165	11039	2024-12-10		both	true
11165	11040	2024-12-10		both	true
11165	11041	2024-12-10		both	true
11165	11047	2024-12-10		both	true
11165	11048	2024-12-10	2025-06-30	both	true
11165	11049	2024-12-10		both	true
11165	11050	2024-12-10		both	true
11165	12989	2025-05-12		both	true
11166	11045	2024-12-10		both	true
11167	11320	2024-12-23	2025-07-23	both	true
11167	11324	2024-12-23		both	true
11167	11405	2024-12-27	2025-05-01	both	true
11167	11408	2024-12-27		both	true
11167	11498	2025-01-02		both	true
11167	13034	2025-07-02		both	true
11167	13158	2026-01-20		both	true
11167	13196	2026-02-02		both	true
11169	11018	2024-12-11		both	true
11170	11018	2024-12-11		both	true
11170	11767	2026-05-08		both	true
11173	11036	2024-12-16		both	true
11174	10968	2025-07-16		both	true
11176	11050	2024-12-10		both	true
11177	11028	2024-12-12		both	true
11177	11107	2024-12-20		both	true
11177	11113	2024-12-20		both	true
11177	11114	2024-12-20		both	true
11177	11116	2024-12-30		both	true
11177	11117	2024-12-30		both	true
11177	11119	2024-12-20		both	true
11177	11120	2024-12-20		both	true
11177	11121	2024-12-30		both	true
11177	11122	2024-12-30		both	true
11177	11123	2024-12-20		both	true
11177	11124	2024-12-30		both	true
11177	11125	2024-12-30		both	true
11177	11126	2025-05-06		both	true
11177	11127	2024-12-20		both	true
11177	11128	2024-12-20		both	true
11177	11129	2024-12-20		both	true
11177	11130	2025-01-10		both	true
11177	11131	2024-12-20	2026-02-10	both	true
11177	11132	2024-12-20		both	true
11177	11133	2025-01-08		both	true
11177	11134	2025-01-08		both	true
11177	11135	2025-01-14		both	true
11177	11361	2025-01-08		both	true
