scan_page	row	x	y	w	h	conf	text
159	_header	1047	1064	27	32	26	S
159	_header	1147	1064	28	28	70	F
159	_header	1310	1039	115	53	50	$25
159	_header	1453	1044	62	42	56	25
159	_header	1554	1047	28	38	69	5
159	_header	1842	1014	94	80	0	3E2
159	_header	2053	1042	28	36	76	z
159	_header	2185	1036	27	36	37	ie
159	_header	2324	1026	31	60	6	Fd
159	_header	2465	1050	27	22	93	<
159	_header	2696	1035	62	35	85	38
159	_header	2831	1004	138	66	23	S235
159	_header	2989	1024	94	43	31	S38
159	Alabama	246	1179	34	31	25	%
159	Alabama	316	1184	146	30	88	Alabama
159	Alabama	568	1183	12	13	0	i
159	Alabama	1328	1172	13	13	51	*
159	_header	1412	1171	12	13	41	*#
159	Alabama	1492	1184	20	4	20	2
159	Alabama	1575	1182	20	5	63	=
159	Alabama	1888	1178	20	4	91	-
159	_header	2049	1161	58	27	84	450
159	_header	2177	1159	58	27	70	400
159	_header	2336	1171	19	5	90	-
159	_header	2466	1154	38	29	68	$0
159	_header	2585	1150	117	31	78	Annual
159	_header	2744	1165	20	5	75	-
159	_header	2843	1163	20	5	75	-
159	_header	2943	1162	19	4	57	-
159	_header	3045	1146	13	13	57	*
159	_header	3142	1159	19	4	62	-
159	_header	3241	1157	20	5	16	-
159	Alaska	247	1210	32	56	39	B
159	Alaska	316	1225	109	30	93	alaska
159	Alaska	568	1225	13	13	0	*
159	Alaska	667	1224	13	12	49	8
159	Alaska	764	1236	19	4	59	2
159	Alaska	864	1234	19	5	0	e
159	Alaska	963	1233	20	4	30	=
159	Alaska	1329	1213	96	14	29	‘8
159	Alaska	1576	1224	19	5	5	fe
159	Alaska	1889	1219	19	5	91	-
159	Alabama	2051	1202	56	28	26	300
159	Alabama	2179	1201	177	27	0	3300—~Cé«
159	Alabama	2485	1196	19	28	80	0
159	Alabama	2585	1191	117	31	53	Annual
159	Alabama	2759	1206	5	5	77	-
159	Alabama	2844	1205	19	4	81	-
159	Alabama	2944	1203	19	5	78	-
159	Alabama	3043	1202	19	4	78	-
159	Alabama	3132	1186	40	32	68	fa)
159	Alabama	3245	1185	12	13	87	*
159	Arkansas	247	1266	24	47	53	G
159	Arkansas	317	1265	147	30	49	Arkansas
159	Arkansas	568	1265	13	13	45	*
159	Arkansas	668	1264	13	12	68	*
159	Arkansas	768	1262	12	13	77	*
159	Arkansas	867	1261	13	12	74	*
159	Arkansas	967	1259	12	13	50	*
159	Arkansas	1067	1258	12	13	14	f
159	Arkansas	1163	1270	20	5	61	=
159	Arkansas	1330	1253	95	14	22	‘oh
159	Arkansas	1494	1264	102	6	9	=e
159	Arkansas	1890	1260	19	4	90	-
159	Alaska	2052	1243	55	28	84	500
159	Alaska	2174	1241	66	27	68	NA
159	Alaska	2338	1253	18	4	68	-
159	Alaska	2486	1237	19	27	82	0
159	Alaska	2586	1231	117	31	40	Annual
159	Alaska	2745	1246	20	5	79	-
159	Alaska	2845	1245	19	5	79	-
159	Alaska	2944	1243	20	5	82	-
159	Alaska	3044	1242	19	5	82	-
159	Alaska	3143	1241	20	5	59	-
159	Alaska	3243	1239	19	5	10	=
159	California	313	1303	168	45	96	California
159	California	569	1307	13	13	81	*
159	California	669	1306	13	13	20	*
159	California	765	1318	20	5	88	-
159	California	865	1317	19	4	89	-
159	California	968	1301	12	13	88	*
159	California	1067	1299	12	14	86	*
159	California	1167	1298	12	13	88	*
159	California	1331	1296	12	12	31	*
159	Arkansas	1414	1294	12	13	45	8
159	California	1494	1307	19	5	0	=
159	California	1578	1306	19	5	44	=
159	Arkansas	1862	1288	47	27	96	No
159	Arkansas	2089	1298	20	5	85	-
159	Arkansas	2198	1297	20	5	92	-
159	Arkansas	2338	1295	19	4	89	-
159	Arkansas	2469	1279	36	27	55	25.
159	Arkansas	2572	1273	131	31	0	~+Biennial
159	Arkansas	2746	1288	19	5	70	-
159	Arkansas	2845	1287	20	5	92	-
159	Arkansas	2936	1271	37	28	87	10
159	Arkansas	3044	1284	19	5	22	.\-
159	Arkansas	3128	1268	50	33	55	{ss}
159	Arkansas	3246	1267	13	13	85	*
159	Connecticut	249	1326	32	106	57	7
159	Connecticut	318	1349	202	31	80	Connecticut
159	Connecticut	569	1349	13	13	80	*
159	Connecticut	669	1348	12	13	64	.
159	Connecticut	766	1360	20	4	86	-
159	Connecticut	865	1358	20	5	42	~
159	Connecticut	968	1344	13	12	67	.
159	Connecticut	1068	1342	12	12	59	.
159	Connecticut	1163	1354	20	5	85	-
159	Connecticut	1333	1338	12	13	17	*
159	California	1417	1337	13	12	84	*
159	Connecticut	1499	1350	19	4	87	-
159	Connecticut	1583	1333	39	32	91	(a)
159	California	2024	1326	85	28	96	1,500
159	California	2181	1321	56	41	96	500
159	California	2470	1321	36	27	96	30
159	California	2587	1315	117	31	54	Annual
159	California	2746	1331	20	5	58	-
159	California	2846	1330	19	4	85	-
159	California	2934	1312	41	34	93	(b)
159	California	3045	1327	19	4	87	-
159	California	3144	1325	20	5	87	-
159	California	3246	1309	13	13	41	*
159	Florida	250	1446	32	14	35	~~
159	Florida	321	1433	114	30	88	Florida
159	Florida	447	1431	41	36	91	(d)
159	Florida	567	1446	20	5	90	-
159	Florida	670	1432	13	12	40	*
159	Florida	767	1443	19	5	24	~
159	Florida	867	1442	19	4	87	-
159	Florida	967	1440	19	4	30	~
159	Florida	1066	1439	19	4	87	-
159	Florida	1332	1421	13	13	37	+
159	Florida	1413	1434	19	4	57	-
159	Florida	1496	1433	19	4	71	-
159	Florida	1582	1418	13	12	71	*
159	Florida	1892	1427	20	4	88	-
159	Florida	2091	1424	20	4	87	-
159	Florida	2200	1422	19	5	69	—
159	Florida	2274	1407	84	32	88	1,200
159	Florida	2470	1404	37	28	96	10
159	Florida	2588	1399	117	31	56	Annual
159	Florida	2747	1414	20	5	54	—
159	Florida	2847	1413	19	4	91	-
159	Florida	2947	1411	19	4	88	-
159	Connecticut	3049	1396	13	13	55	*
159	Florida	3245	1407	19	4	90	-
159	Hawaii	321	1471	111	43	95	Hawaii
159	Hawaii	571	1474	13	13	49	.
159	Hawaii	671	1473	12	12	66	.
159	Hawaii	767	1485	20	4	85	-
159	Hawaii	868	1483	19	4	88	-
159	Hawaii	971	1468	12	12	44	.
159	Hawaii	1070	1467	13	12	78	.
159	Hawaii	1169	1465	13	12	64	*
159	Florida	1333	1463	13	12	18	*
159	Hawaii	1413	1475	20	5	52	-
159	Hawaii	1497	1474	19	5	52	-
159	Hawaii	1580	1473	19	4	79	=
159	Hawaii	1893	1468	19	5	60	-
159	Florida	2053	1452	56	27	96	225
159	Florida	2182	1450	56	27	94	167
159	Florida	2339	1448	20	27	84	0
159	Florida	2488	1446	20	27	76	0
159	Florida	2574	1440	132	32	82	Biennial
159	Florida	2748	1455	20	5	39	-
159	Florida	2847	1454	20	5	64	-
159	Florida	2947	1453	19	4	86	-
159	Florida	3046	1451	20	5	89	-
159	Florida	3146	1450	19	4	89	-
159	Florida	3246	1448	19	5	77	-
159	Idaho	322	1510	95	44	65	Idaho
159	Idaho	571	1514	13	13	84	*
159	Idaho	772	1511	12	13	63	*
159	Idaho	972	1508	12	12	12	*
159	Idaho	1068	1520	19	5	38	-
159	Hawaii	1334	1503	13	12	20	*
159	Idaho	1414	1516	19	4	83	-
159	Idaho	1497	1515	20	4	83	-
159	Idaho	1581	1513	19	5	80	-
159	Hawaii	1893	1509	20	4	86	-
159	Hawaii	2055	1488	57	42	96	280
159	Hawaii	2201	1504	20	5	87	-
159	Hawaii	2341	1502	19	5	52	~
159	Hawaii	2471	1486	38	27	96	10
159	Hawaii	2590	1481	116	31	80	Annual
159	Hawaii	2748	1496	20	5	59	-
159	Hawaii	2848	1495	19	4	89	-
159	Hawaii	2948	1493	19	5	85	-
159	Hawaii	3050	1478	13	13	56	.
159	Hawaii	3245	1471	17	41	33	*.
159	Indiana	252	1568	33	32	21	Q
159	Indiana	323	1557	122	30	66	Indiana
159	Indiana	572	1557	13	12	0	*
159	Indiana	669	1569	20	4	21	=
159	Indiana	973	1550	12	12	10	,
159	Indiana	1072	1548	115	17	0	‘=
159	Idaho	1335	1545	12	12	0	*
159	Idaho	1418	1544	13	12	51	*
159	Indiana	1498	1557	19	4	66	=
159	Indiana	1581	1555	20	5	80	=
159	Indiana	1894	1551	20	4	85	-
159	Idaho	2056	1534	56	28	65	550
159	Idaho	2183	1532	57	27	72	450
159	Idaho	2341	1544	20	5	89	-
159	Idaho	2472	1528	37	28	71	20
159	Idaho	2591	1523	116	31	89	Annual
159	Idaho	2749	1538	20	5	78	-
159	Idaho	2849	1537	19	4	74	-
159	Idaho	2948	1535	20	4	64	-
159	Idaho	3048	1534	19	4	64	-
159	Idaho	3147	1532	20	5	50	-
159	Idaho	3249	1517	13	13	68	*
159	Iowa	251	1600	24	100	19	g
159	Iowa	323	1601	76	28	90	lowa
159	Iowa	411	1600	40	34	90	(e)
159	Iowa	572	1598	13	13	84	*
159	Iowa	670	1610	19	5	92	-
159	Iowa	770	1609	19	4	91	-
159	Iowa	869	1607	20	4	91	-
159	Iowa	970	1606	19	4	90	-
159	Iowa	1069	1604	20	4	89	-
159	Iowa	1335	1600	19	5	84	-
159	Iowa	1421	1599	19	5	70	-
159	Indiana	1510	1585	12	12	77	*
159	Iowa	1593	1581	34	33	0	ff)
159	Iowa	1895	1593	19	4	84	-
159	Indiana	1979	1576	133	29	77	500-600
159	Indiana	2202	1588	20	5	90	-
159	Indiana	2342	1586	19	4	92	-
159	Indiana	2490	1570	20	27	89	0
159	Indiana	2591	1564	117	31	60	Annual
159	Indiana	2750	1580	19	5	80	-
159	Indiana	2850	1579	19	4	91	-
159	Indiana	2949	1577	19	4	70	-
159	Indiana	3038	1561	39	34	67	{g)
159	Indiana	3147	1574	20	5	78	-
159	Indiana	3247	1572	20	5	91	-
159	Kansas	254	1700	32	25	30	=:
159	Kansas	324	1685	110	27	93	Kansas
159	Kansas	574	1682	13	12	52	*
159	Kansas	674	1680	12	13	43	*
159	Kansas	771	1692	19	5	87	-
159	Kansas	870	1690	20	5	0	7
159	Kansas	971	1689	19	4	88	-
159	Kansas	1074	1674	12	12	46	*
159	Kansas	1169	1686	20	4	88	-
159	Kansas	1336	1670	13	12	31	*
159	Kansas	1416	1683	20	4	36	=
159	Kansas	1500	1682	19	4	38	=
159	Kansas	1896	1675	19	5	86	-
159	Kansas	2056	1654	58	48	96	690
159	Kansas	2204	1671	19	4	88	-
159	Kansas	2343	1669	19	5	91	-
159	Kansas	2474	1653	36	27	93	15
159	Kansas	2592	1648	117	30	90	Annual
159	Kansas	2751	1663	20	5	82	-
159	Kansas	2851	1662	19	4	64	-
159	Kansas	2931	1646	57	27	89	100
159	Iowa	3052	1645	13	13	89	*
159	Kansas	3138	1641	40	34	0	(Hh
159	Iowa	3251	1642	12	13	73	*
159	Louisiana	253	1737	24	26	7	0
159	Louisiana	326	1723	194	34	58	louisiana(i)
159	Louisiana	574	1723	13	13	58	*
159	Louisiana	671	1735	20	5	89	-
159	Louisiana	772	1734	19	4	90	-
159	Louisiana	871	1732	20	4	87	-
159	Louisiana	974	1717	13	12	29	*
159	Louisiana	1071	1729	19	4	91	-
159	Louisiana	1170	1727	19	5	91	-
159	Louisiana	1334	1725	19	4	77	-
159	Kansas	1420	1710	13	13	77	*
159	Louisiana	1500	1723	20	5	48	=
159	Louisiana	1584	1722	19	4	88	=
159	Louisiana	1896	1717	20	4	88	-
159	Kansas	2053	1695	63	42	96	400
159	Kansas	2204	1713	20	4	88	-
159	Kansas	2344	1711	19	4	91	-
159	Kansas	2474	1695	38	27	96	10
159	Kansas	2593	1689	116	31	61	Annual
159	Kansas	2751	1705	20	5	9	—-
159	Kansas	2851	1703	19	5	88	-
159	Kansas	2950	1702	20	4	87	-
159	Kansas	3050	1700	19	5	85	-
159	Kansas	3149	1699	19	5	91	-
159	Kansas	3249	1697	19	5	91	-
159	Maine	254	1763	32	16	33	"""="
159	Maine	324	1765	103	29	80	Maine
159	Maine	574	1764	14	13	82	*
159	Maine	672	1776	19	5	87	-
159	Maine	772	1775	20	4	86	-
159	Maine	871	1773	20	4	86	-
159	Maine	976	1757	12	13	65	*
159	Maine	1072	1770	19	4	84	-
159	Maine	1174	1754	13	13	49	*
159	Louisiana	1338	1752	13	12	39	*
159	Maine	1418	1764	19	5	80	-
159	Maine	1501	1764	19	4	15	+
159	Maine	1897	1758	19	4	87	-
159	Louisiana	1987	1737	130	42	95	300-400
159	Louisiana	2205	1753	20	5	90	~
159	Louisiana	2344	1751	20	5	88	-
159	Louisiana	2475	1735	36	27	96	75
159	Louisiana	2593	1730	117	31	67	Annual
159	Louisiana	2751	1745	21	5	11	—-
159	Louisiana	2852	1744	19	4	85	-
159	Louisiana	2951	1743	20	4	86	-
159	Louisiana	3046	1723	24	41	21	~-
159	Louisiana	3150	1740	19	4	87	-
159	Louisiana	3246	1720	23	41	49	~-
159	Maryland	253	1791	34	76	0	¢
159	Maryland	325	1801	157	45	95	Maryland
159	Maryland	575	1806	13	12	58	.
159	Maryland	675	1805	13	12	70	*
159	Maryland	772	1817	20	5	67	-
159	Maryland	872	1815	19	4	84	-
159	Maryland	975	1800	13	12	71	*
159	Maryland	1075	1799	13	12	87	*
159	Maryland	1174	1796	13	13	90	*
159	Maine	1336	1794	14	13	77	*
159	Maine	1419	1793	12	12	65	*
159	Maryland	1498	1806	19	4	72	-
159	Maryland	1579	1790	31	33	68	{j)
159	Maryland	1897	1800	20	4	84	-
159	Maine	2058	1783	57	27	96	450
159	Maine	2188	1781	54	28	96	565
159	Maine	2345	1793	19	5	80	-
159	Maine	2493	1777	20	27	68	0
159	Maine	2594	1772	116	31	91	Annual
159	Maine	2755	1773	14	14	89	*
159	Maine	2852	1786	19	4	87	-
159	Maine	2952	1784	19	5	88	-
159	Maine	3054	1769	13	13	89	*
159	Maine	3151	1782	19	4	85	-
159	Maine	3253	1767	13	12	56	*
159	Massachusetts	254	1867	30	40	37	9
159	Massachusetts	326	1843	235	44	92	Massachusetts
159	Massachusetts	576	1848	13	13	92	*
159	Massachusetts	676	1847	13	12	54	*
159	Massachusetts	773	1859	19	4	89	-
159	Massachusetts	873	1857	19	4	83	-
159	Massachusetts	976	1842	12	12	48	‘
159	Massachusetts	1073	1854	19	4	70	-
159	Massachusetts	1172	1852	19	4	88	-
159	Maryland	1338	1837	13	12	31	*
159	Maryland	1421	1835	13	13	78	*
159	Massachusetts	1502	1848	20	4	90	-
159	Massachusetts	1585	1846	20	5	23	=
159	Maryland	1901	1828	13	12	79	*
159	Maryland	2059	1825	56	27	95	615
159	Maryland	2187	1823	56	27	96	673
159	Maryland	2346	1835	19	4	90	-
159	Maryland	2477	1819	35	27	96	35
159	Maryland	2595	1814	116	31	51	Annual
159	Maryland	2753	1829	20	5	47	—-
159	Maryland	2853	1828	19	4	86	-
159	Maryland	2952	1826	19	5	79	-
159	Maryland	3051	1825	20	4	87	-
159	Maryland	3151	1824	19	4	88	-
159	Maryland	3254	1809	12	12	25	.
159	Michigan	255	1920	33	35	57	©
159	Michigan	326	1931	155	37	66	Michigan
159	Michigan	576	1931	14	14	64	*
159	Michigan	677	1931	13	12	64	*
159	Michigan	774	1942	19	5	66	-
159	Michigan	877	1927	13	12	77	*
159	Michigan	977	1925	13	13	73	*
159	Michigan	1077	1924	12	12	43	*
159	Michigan	1176	1922	13	12	71	*
159	Michigan	1339	1920	13	13	0	*
159	Michigan	1423	1919	13	12	59	8
159	Michigan	1504	1931	19	5	0	2
159	Michigan	1900	1925	19	4	90	-
159	Michigan	2032	1908	85	32	89	1300
159	Michigan	2188	1906	58	28	74	800
159	Michigan	2346	1918	20	5	86	-
159	Michigan	2495	1902	20	28	68	O
159	Michigan	2539	1901	175	28	59	Permanent
159	Michigan	2754	1912	20	5	82	-
159	Michigan	2854	1911	19	4	79	-
159	Michigan	2953	1909	20	5	79	-
159	Michigan	3053	1908	19	4	82	-
159	Michigan	3146	1891	31	34	61	@)
159	Massachusetts	3254	1892	13	12	82	*
159	Minnesota	327	1971	171	42	96	Minnesota
159	Minnesota	578	1973	12	13	30	,
159	Minnesota	678	1972	13	12	44	.
159	Minnesota	775	1984	20	4	87	-
159	Minnesota	875	1982	19	5	91	-
159	Minnesota	1078	1965	12	12	90	*
159	Michigan	1338	1962	12	13	86	*
159	Minnesota	1415	1974	19	5	71	=
159	Minnesota	1496	1973	20	4	35	—-
159	Minnesota	1576	1956	52	33	45	{m)
159	Michigan	1900	1967	19	4	90	-
159	Michigan	1994	1945	124	43	41	1,10Q(n)
159	Michigan	2208	1962	19	5	24	-
159	Michigan	2347	1960	19	5	92	-
159	Michigan	2496	1944	19	27	57	O
159	Michigan	2525	1941	191	32	57	Permanent(o)
159	Michigan	2755	1954	19	5	52	-
159	Michigan	2854	1953	19	4	90	-
159	Michigan	2954	1951	19	5	88	-
159	Michigan	3053	1950	20	4	88	-
159	Michigan	3142	1934	40	34	93	(p)
159	Michigan	3255	1934	13	12	79	*
159	Mississippi	327	2009	177	45	96	Mississippi
159	Mississippi	578	2014	13	12	70	.
159	Mississippi	676	2026	19	5	90	-
159	Mississippi	776	2024	20	5	78	-
159	Mississippi	876	2022	19	5	88	-
159	Mississippi	1076	2019	19	5	90	-
159	Mississippi	1175	2017	19	4	88	-
159	Minnesota	1426	2001	13	13	64	*
159	Mississippi	1508	2013	19	5	64	-
159	Mississippi	1592	1997	41	34	65	(q)
159	Minnesota	1901	2007	19	5	89	-
159	Minnesota	2058	1986	65	43	95	290
159	Minnesota	2190	1984	57	43	96	290
159	Minnesota	2348	2001	20	5	91	-
159	Minnesota	2478	1985	37	27	96	25
159	Minnesota	2597	1980	117	30	56	Annual
159	Minnesota	2756	1995	19	5	68	-
159	Minnesota	2855	1993	20	5	91	-
159	Minnesota	2955	1992	19	4	88	-
159	Minnesota	3057	1977	12	13	70	*
159	Minnesota	3153	1989	20	5	92	-
159	Missouri	328	2052	140	45	96	Missouri
159	Missouri	579	2055	13	13	68	*
159	Missouri	677	2068	19	4	90	-
159	Missouri	777	2066	19	5	91	-
159	Missouri	879	2050	13	13	61	*
159	Missouri	980	2049	12	12	67	*
159	Missouri	1076	2061	20	4	91	-
159	Missouri	1175	2059	20	5	64	-
159	Mississippi	1342	2044	12	13	0	*
159	Missouri	1422	2056	20	5	0	-—
159	Mississippi	1509	2042	99	16	17	f=
159	Mississippi	1902	2049	19	4	91	-
159	Mississippi	2035	2028	88	44	92	1,000
159	Mississippi	2209	2045	19	5	92	-
159	Mississippi	2311	2024	56	44	96	500
159	Mississippi	2497	2027	19	27	63	O
159	Mississippi	2548	2026	11	27	55	3
159	Mississippi	2577	2025	88	28	55	times
159	Mississippi	2677	2031	37	27	96	yr.
159	Montana	257	2135	23	26	63	8
159	Montana	328	2096	147	42	96	Montana
159	Montana	579	2097	14	13	37	*
159	Montana	778	2107	19	5	92	-
159	Montana	876	2088	17	42	45	*.
159	Montana	978	2104	19	4	89	-
159	Montana	1080	2089	13	12	62	.
159	Missouri	1340	2086	12	13	65	*
159	Missouri	1420	2084	13	13	73	*
159	Montana	1498	2081	33	33	54	(ff)
159	Montana	1592	2095	20	5	36	=
159	Missouri	1902	2091	20	4	88	-
159	Missouri	2059	2070	63	42	96	680
159	Missouri	2192	2072	55	28	96	379
159	Missouri	2333	2070	35	32	92	(s)
159	Missouri	2479	2069	38	27	54	10
159	Missouri	2583	2063	132	31	58	Biennial
159	Missouri	2757	2078	19	5	88	-
159	Missouri	2857	2077	18	4	89	-
159	Missouri	2955	2075	20	5	89	-
159	Missouri	3055	2074	19	5	92	-
159	Missouri	3154	2073	20	4	88	-
159	Missouri	3254	2072	19	4	89	-
159	Nebraska	257	2160	29	40	37	3
159	Nebraska	330	2176	154	44	96	Nebraska
159	Nebraska	581	2181	13	12	70	.
159	Nebraska	678	2193	19	5	86	-
159	Nebraska	778	2193	19	4	85	-
159	Nebraska	877	2191	19	4	87	-
159	Nebraska	977	2190	19	4	86	-
159	Nebraska	1076	2188	20	5	87	-
159	Nebraska	1176	2187	20	4	84	-
159	Nebraska	1343	2169	13	13	21	.
159	Nebraska	1424	2181	20	5	62	-
159	Nebraska	1508	2180	19	4	62	-
159	Nebraska	1591	2178	19	5	74	-
159	Nebraska	1903	2175	19	4	77	-
159	Nebraska	2064	2157	56	28	96	369
159	Nebraska	2192	2156	57	27	96	756
159	Nebraska	2350	2168	20	5	88	-
159	Nebraska	2482	2152	35	27	96	35
159	Nebraska	2584	2146	131	32	87	Biennial
159	Nebraska	2758	2161	20	5	65	—-
159	Nebraska	2858	2160	18	5	92	-
159	Nebraska	2956	2159	20	4	84	-
159	Montana	3059	2144	13	12	66	.
159	Nebraska	3149	2141	32	33	93	(t)
159	Montana	3258	2141	12	13	86	*
159	Nevada	258	2244	31	17	64	wea
159	Nevada	331	2222	121	31	14	Nevada
159	Nevada	581	2223	13	12	48	*
159	Nevada	678	2235	20	5	81	-
159	Nevada	778	2234	19	4	88	-
159	Nevada	877	2233	20	4	88	-
159	Nevada	978	2231	19	5	90	-
159	Nevada	1078	2230	19	4	88	-
159	Nevada	1177	2228	20	5	90	-
159	Nebraska	1344	2210	13	13	51	+
159	Nebraska	1428	2209	13	13	30	*
159	Nevada	1508	2221	20	5	31	=
159	Nevada	1591	2220	19	5	82	=
159	Nevada	1904	2216	19	4	86	-
159	Nebraska	2065	2199	51	28	96	531
159	Nebraska	2211	2212	20	4	88	-
159	Nebraska	2351	2210	19	4	89	-
159	Nebraska	2478	2192	41	33	91	(u)
159	Nebraska	2585	2188	131	31	81	Biennial
159	Nebraska	2759	2203	19	5	54	-
159	Nebraska	2858	2201	19	5	91	-
159	Nebraska	2957	2200	20	4	88	-
159	Nebraska	3060	2185	12	13	76	*
159	Nebraska	3146	2183	38	32	72	(vy)
159	Nebraska	3258	2183	13	12	82	*
159	New Hampshire	258	2263	32	52	42	3
159	New Hampshire	331	2265	64	28	95	New
159	New Hampshire	407	2261	157	36	92	Hampshire
159	New Hampshire	581	2262	13	13	92	*
159	New Hampshire	679	2275	19	5	44	-
159	New Hampshire	779	2274	19	5	91	-
159	New Hampshire	878	2273	19	4	83	-
159	New Hampshire	982	2257	12	13	88	*
159	New Hampshire	1079	2270	19	5	85	-
159	New Hampshire	1178	2268	20	5	40	-
159	Nevada	1345	2251	13	13	16	‘+
159	New Hampshire	1425	2263	20	5	70	-
159	New Hampshire	1509	2262	19	4	63	=
159	New Hampshire	1592	2260	19	5	83	=
159	Nevada	1908	2242	12	13	79	*
159	Nevada	2065	2232	57	45	96	160
159	Nevada	2212	2252	20	5	91	-
159	Nevada	2351	2250	20	4	91	-
159	Nevada	2473	2232	47	33	92	(w)
159	Nevada	2601	2228	116	31	52	Annual
159	Nevada	2759	2243	20	5	65	-
159	Nevada	2859	2242	19	4	88	-
159	Nevada	2958	2240	19	5	90	-
159	Nevada	3057	2239	20	5	89	-
159	Nevada	3156	2238	20	5	91	-
159	Nevada	3256	2237	19	5	91	-
160	_header	6	598	94	274	0	3]B00*)
160	_header	244	868	33	97	25	OGGI
160	_header	244	745	32	106	58	YOO
160	_header	243	640	32	91	37	FIG
160	_header	243	468	34	160	56	TADOD
160	_header	243	356	32	70	65	OST
160	_header	1621	306	103	27	95	TABLE
160	_header	1739	305	37	27	96	28
