report_period	filing_id	principal_name	principal_id	lobbyist_name	lobbyist_id	position_kind	bill_label_raw	bill_label_normalized	bill_class	bill_id	bill_title	position_description	num_primary_sponsors	sponsor_lawmaker_id	sponsor_lawmaker_name	sponsor_role	confidence
2025-01-01..2025-04-30	20250518LUPA1398890	Ohio Healthy Alternatives Association	org-ohio-healthy-alternatives-association	Amanda R Sines	person-amanda-r-sines	bill_referenced	SB 86	SB 86	bill	ocd-bill/7809cb11-fa18-41df-b5ed-2e3561a183fd	Regulate and tax intoxicating hemp, drinkable cannabinoid product	Regulate and tax intoxicating hemp, drinkable cannabinoid product	2	ocd-person/bb1ae016-cdfe-48aa-8bc5-9e3636e430f3	Shane Wilkin	primary	direct
2025-01-01..2025-04-30	20250518LUPA1398890	Ohio Healthy Alternatives Association	org-ohio-healthy-alternatives-association	Amanda R Sines	person-amanda-r-sines	bill_referenced	SB 86	SB 86	bill	ocd-bill/7809cb11-fa18-41df-b5ed-2e3561a183fd	Regulate and tax intoxicating hemp, drinkable cannabinoid product	Regulate and tax intoxicating hemp, drinkable cannabinoid product	2	ocd-person/b21d9dcd-21e9-4071-936d-f89fc5d8f643	Stephen A. Huffman	primary	direct
2025-01-01..2025-04-30	20250519LUPA1399318	Friendship Circle of Cleveland	org-friendship-circle-of-cleveland	Rachel Schubert	person-rachel-schubert	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250519LUPA1399724	Ohio Provider Resource Association	org-ohio-provider-resource-association	Anthony Aquillo	person-anthony-aquillo	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250519LUPA1399724	Ohio Provider Resource Association	org-ohio-provider-resource-association	Anthony Aquillo	person-anthony-aquillo	bill_referenced	HB 141	HB 141	bill	ocd-bill/d114d3f2-76e0-43f9-8adc-f607753ae3be	Regards prescribed pediatric extended care centers	Regards prescribed pediatric extended care centers	2	ocd-person/9ae0194c-0f5b-44c6-b84f-a0ec4d3f3a61	Cindy Abrams	primary	direct
2025-01-01..2025-04-30	20250519LUPA1399724	Ohio Provider Resource Association	org-ohio-provider-resource-association	Anthony Aquillo	person-anthony-aquillo	bill_referenced	HB 141	HB 141	bill	ocd-bill/d114d3f2-76e0-43f9-8adc-f607753ae3be	Regards prescribed pediatric extended care centers	Regards prescribed pediatric extended care centers	2	ocd-person/36f320a8-be34-43c2-ac73-ee87fbce6b0c	Rachel B. Baker	primary	direct
2025-01-01..2025-04-30	20250519LUPA1399724	Ohio Provider Resource Association	org-ohio-provider-resource-association	Anthony Aquillo	person-anthony-aquillo	bill_referenced	HB 225	HB 225	bill	ocd-bill/24e6b3f3-6ef2-4b7c-be19-a53fb291b464	Phase out subminimum wage for individuals with disabilities	Phase out subminimum wage for individuals with disabilities	2	ocd-person/d2ecec1d-db13-4a47-836b-9e75f3a31c78	Tom Young	primary	direct
2025-01-01..2025-04-30	20250519LUPA1399724	Ohio Provider Resource Association	org-ohio-provider-resource-association	Anthony Aquillo	person-anthony-aquillo	bill_referenced	HB 225	HB 225	bill	ocd-bill/24e6b3f3-6ef2-4b7c-be19-a53fb291b464	Phase out subminimum wage for individuals with disabilities	Phase out subminimum wage for individuals with disabilities	2	ocd-person/74c1210d-fb56-4522-8d3a-0a2bb08c972b	Dontavius L. Jarrells	primary	direct
2025-01-01..2025-04-30	20250519LUPA1399724	Ohio Provider Resource Association	org-ohio-provider-resource-association	Anthony Aquillo	person-anthony-aquillo	bill_referenced	SB 142	SB 142	bill	ocd-bill/33519a85-74a7-42ae-a5ff-9727810de2ec	Phase out subminimum wage for individuals with disabilities	Phase out subminimum wage for individuals with disabilities	1	ocd-person/3329274c-22b6-4b0a-b12a-e64c5733bef9	Paula Hicks-Hudson	primary	direct
2025-01-01..2025-04-30	20250520LUPA1400446	Coinbase, Inc.	org-coinbase-inc	Kristen Brinkman-Tell	person-kristen-brinkman-tell	bill_referenced	HB 18	HB 18	bill	ocd-bill/702704c4-4450-4d78-a3a4-6c1edb8d5f57	Enact the Ohio Strategic Cryptocurrency Reserve Act	Enact the Ohio Strategic Cryptocurrency Reserve Act	1	ocd-person/854b6ce3-a4e1-46db-959a-aa286e4e8942	Steve Demetriou	primary	direct
2025-01-01..2025-04-30	20250520LUPA1400446	Coinbase, Inc.	org-coinbase-inc	Kristen Brinkman-Tell	person-kristen-brinkman-tell	bill_referenced	HB 116	HB 116	bill	ocd-bill/84ab6005-9cef-44be-bf2a-502a032d86e0	Enact the Ohio Blockchain Basics Act	Enact the Ohio Blockchain Basics Act	1	ocd-person/854b6ce3-a4e1-46db-959a-aa286e4e8942	Steve Demetriou	primary	direct
2025-01-01..2025-04-30	20250520LUPA1401008	Columbus City School District	org-columbus-city-school-district	Allison Lawlor	person-allison-lawlor	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250520LUPA1401008	Columbus City School District	org-columbus-city-school-district	Allison Lawlor	person-allison-lawlor	bill_referenced	SB 19	SB 19	bill	ocd-bill/bd9f4b71-4556-46ab-8bda-e6919ff5a4e4	Regards academic intervention, math improvement and intervention	Regards academic intervention, math improvement and intervention	1	ocd-person/c61c8eaf-1de9-419d-a5dc-c96787315578	Andrew O. Brenner	primary	direct
2025-01-01..2025-04-30	20250520LUPA1401008	Columbus City School District	org-columbus-city-school-district	Allison Lawlor	person-allison-lawlor	bill_referenced	SB 127	SB 127	bill	ocd-bill/9f3e79ca-538b-4a96-904d-0c72e6bd652d	Regards closure requirements for poor-performing public schools	Regards closure requirements for poor-performing public schools	1	ocd-person/c61c8eaf-1de9-419d-a5dc-c96787315578	Andrew O. Brenner	primary	direct
2025-01-01..2025-04-30	20250520LUPA1401482	Aramark Correctional Services, LLC	org-aramark-correctional-services-llc	John H Oberle	person-john-h-oberle	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250521EUPA1402750	Graduation Alliance	org-graduation-alliance	Jimmy Wolf	person-jimmy-wolf	subject_general	Education and Workforce	Education and Workforce	subject			Rules for adult education program	0				subject_only
2025-01-01..2025-04-30	20250521LUPA1398614	Otsuka America Pharmaceutical, Inc	org-otsuka-america-pharmaceutical-inc	Joee Lindbeck	person-joee-lindbeck	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 3	HB 3	bill	ocd-bill/201a4306-ae4b-4594-8800-ff6b1d14dc0f	Enact the School Bus Safety Act	Enact the School Bus Safety Act	2	ocd-person/5ba7ae7d-2f10-42b7-8784-8e734507ce33	Cecil Thomas	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 3	HB 3	bill	ocd-bill/201a4306-ae4b-4594-8800-ff6b1d14dc0f	Enact the School Bus Safety Act	Enact the School Bus Safety Act	2	ocd-person/550986e6-b595-4fa8-9424-8e09327cf060	Bernard Willis	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 54	HB 54	bill	ocd-bill/03729a21-e915-43b7-a8c6-758bf3753c6c	Make appropriations for transportation for FY 2026-27 biennium	Make appropriations for transportation for FY 2026-27 biennium	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 82	HB 82	bill	ocd-bill/9c93b233-92b1-4566-8808-4b228aaa9531	Regards traffic offenses in construction zones	Regards traffic offenses in construction zones	2	ocd-person/4af0e8db-ad18-424f-abfa-ce31e37c0b7d	Mark Johnson	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 82	HB 82	bill	ocd-bill/9c93b233-92b1-4566-8808-4b228aaa9531	Regards traffic offenses in construction zones	Regards traffic offenses in construction zones	2	ocd-person/04e3c98a-4ede-4501-b914-4fa13fbad194	Gary Click	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 16	SB 16	bill	ocd-bill/1dda1f98-af09-4d8e-b35c-f69b35c32060	Establish road rules around distressed stationary vehicles	Establish road rules around distressed stationary vehicles	1	ocd-person/26444e7e-72b2-4838-bc24-31899c90d504	Steve Wilson	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 55	SB 55	bill	ocd-bill/c4951849-ae41-4409-acc7-23444f07b504	Regards operating under the influence of marihuana, OVI evidence	Regards operating under the influence of marihuana, OVI evidence	1	ocd-person/d3508136-3927-461f-a2f0-a85665845ab1	Nathan H. Manning	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 62	SB 62	bill	ocd-bill/50a522d7-78a8-4ab0-8124-b6590a86bee0	Enact the School Bus Safety Act	Enact the School Bus Safety Act	1	ocd-person/0fe32749-fe89-4f96-87d3-3d831bea2459	Theresa Gavarone	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 65	SB 65	bill	ocd-bill/3c87e13e-e54b-408e-84d5-7dddf2d5c331	Revise product contracts, vehicle agreements, motor vehicle laws	Revise product contracts, vehicle agreements, motor vehicle laws	1	ocd-person/445d3fc7-d9a5-48d8-8869-f023aa274ae7	George F. Lang	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 80	SB 80	bill	ocd-bill/9ed3cf23-d586-44fb-a9e5-ed35306d1efc	Allow a county to implement a motor fuel quality testing program	Allow a county to implement a motor fuel quality testing program	2	ocd-person/23c443b0-e2f7-4c7a-af1e-d67d7aa366ce	Willis E. Blackshear, Jr.	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 80	SB 80	bill	ocd-bill/9ed3cf23-d586-44fb-a9e5-ed35306d1efc	Allow a county to implement a motor fuel quality testing program	Allow a county to implement a motor fuel quality testing program	2	ocd-person/94ba65dd-57c5-4ab0-b607-5e310d50cae0	Catherine D. Ingram	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 86	SB 86	bill	ocd-bill/7809cb11-fa18-41df-b5ed-2e3561a183fd	Regulate and tax intoxicating hemp, drinkable cannabinoid product	Regulate and tax intoxicating hemp, drinkable cannabinoid product	2	ocd-person/bb1ae016-cdfe-48aa-8bc5-9e3636e430f3	Shane Wilkin	primary	direct
2025-01-01..2025-04-30	20250521LUPA1404426	AAA Club Alliance Inc	org-aaa-club-alliance-inc	William L Byers, IV	person-william-l-byers-iv	bill_referenced	SB 86	SB 86	bill	ocd-bill/7809cb11-fa18-41df-b5ed-2e3561a183fd	Regulate and tax intoxicating hemp, drinkable cannabinoid product	Regulate and tax intoxicating hemp, drinkable cannabinoid product	2	ocd-person/b21d9dcd-21e9-4071-936d-f89fc5d8f643	Stephen A. Huffman	primary	direct
2025-01-01..2025-04-30	20250522LUPA1405684	LKQ Corporation	org-lkq-corporation	Nathan Aichele	person-nathan-aichele	bill_referenced	HB 54	HB 54	bill	ocd-bill/03729a21-e915-43b7-a8c6-758bf3753c6c	Make appropriations for transportation for FY 2026-27 biennium	Make appropriations for transportation for FY 2026-27 biennium	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250522LUPA1405684	LKQ Corporation	org-lkq-corporation	Nathan Aichele	person-nathan-aichele	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250522LUPA1405684	LKQ Corporation	org-lkq-corporation	Nathan Aichele	person-nathan-aichele	bill_referenced	HB 210	HB 210	bill	ocd-bill/749394e8-343e-4fbe-916f-edb7a6a64ad5	Regards the sale of used catalytic converters	Regards the sale of used catalytic converters	2	ocd-person/1e218942-95f6-43fe-b935-b19ab70fd5fc	Phil Plummer	primary	direct
2025-01-01..2025-04-30	20250522LUPA1405684	LKQ Corporation	org-lkq-corporation	Nathan Aichele	person-nathan-aichele	bill_referenced	HB 210	HB 210	bill	ocd-bill/749394e8-343e-4fbe-916f-edb7a6a64ad5	Regards the sale of used catalytic converters	Regards the sale of used catalytic converters	2	ocd-person/4cece9f3-e252-438b-8255-a2150a4ed599	Bill Roemer	primary	direct
2025-01-01..2025-04-30	20250523EUPA1406694	Ohio Contractors Association	org-ohio-contractors-association	Christopher L Runyan	person-christopher-l-runyan	subject_general	Public Works / Infrastructure Finance	Public Works / Infrastructure Finance	subject			Ohio Public Works Commission bond renewal	0				subject_only
2025-01-01..2025-04-30	20250523EUPA1406694	Ohio Contractors Association	org-ohio-contractors-association	Christopher L Runyan	person-christopher-l-runyan	subject_general	Transportation / Public Safety	Transportation / Public Safety	subject			Transportation funding, distracted driving, force account limits	0				subject_only
2025-01-01..2025-04-30	20250523EUPA1406694	Ohio Contractors Association	org-ohio-contractors-association	Christopher L Runyan	person-christopher-l-runyan	subject_general	Public Works / Infrastructure Finance	Public Works / Infrastructure Finance	subject			Bond renewal	0				subject_only
2025-01-01..2025-04-30	20250523EUPA1406694	Ohio Contractors Association	org-ohio-contractors-association	Christopher L Runyan	person-christopher-l-runyan	subject_general	Transportation / Public Works Policy	Transportation / Public Works Policy	subject			Transportation funding, force account limits, distracted driving legislation, transportation project policy	0				subject_only
2025-01-01..2025-04-30	20250523LUPA1394636	The Nature Conservancy in Ohio	org-the-nature-conservancy-in-ohio	Rebecca Mellino	person-rebecca-mellino	bill_referenced	HB 15	HB 15	bill	ocd-bill/dde5117e-486e-42d3-913a-4a88cb7c7af7	Amend competitive retail electric service law	Amend competitive retail electric service law	1	ocd-person/73e72147-0d40-4478-bbf6-3419f0e00b46	Roy Klopfenstein	primary	direct
2025-01-01..2025-04-30	20250523LUPA1394636	The Nature Conservancy in Ohio	org-the-nature-conservancy-in-ohio	Rebecca Mellino	person-rebecca-mellino	bill_referenced	HB 96	HB 96	bill	ocd-bill/4e02024d-881d-4a05-9191-b218c16ecff4	Make state operating appropriations for FY 2026-27	Make state operating appropriations for FY 2026-27	1	ocd-person/f4e6c51a-89bd-4841-848b-b1097fd3fc9d	Brian Stewart	primary	direct
2025-01-01..2025-04-30	20250523LUPA1394636	The Nature Conservancy in Ohio	org-the-nature-conservancy-in-ohio	Rebecca Mellino	person-rebecca-mellino	bill_referenced	HB 170	HB 170	bill	ocd-bill/64e09568-b268-4f04-95a0-aa78a46d8884	Establish process to regulate carbon capture, storage technology	Establish process to regulate carbon capture, storage technology	2	ocd-person/cdc9f705-514e-4445-ac17-9aeac8f67e97	Bob Peterson	primary	direct
2025-01-01..2025-04-30	20250523LUPA1394636	The Nature Conservancy in Ohio	org-the-nature-conservancy-in-ohio	Rebecca Mellino	person-rebecca-mellino	bill_referenced	HB 170	HB 170	bill	ocd-bill/64e09568-b268-4f04-95a0-aa78a46d8884	Establish process to regulate carbon capture, storage technology	Establish process to regulate carbon capture, storage technology	2	ocd-person/062b9622-c2fa-4af2-bbea-704f0450dd47	Monica Robb Blasdel	primary	direct
